Source,Target,Type,id,label,timeset,weight
水,钢铁,Undirected,94759,,,9.0
金,铁,Undirected,94765,,,17.0
塑料,DNA,Undirected,94766,,,5.0
含量,乙醇,Undirected,94767,,,65.0
金,游离,Undirected,94769,,,3.0
水泥,燃烧,Undirected,94773,,,3.0
玻璃,红外,Undirected,94784,,,3.0
塑料,升华,Undirected,94789,,,1.0
钻石,石油,Undirected,94791,,,5.0
金,石油,Undirected,94795,,,35.0
石油,汽油,Undirected,94796,,,17.0
化学物质,化学,Undirected,94797,,,3.0
水泥,化肥,Undirected,94800,,,2.0
升华,能量,Undirected,94802,,,4.0
柴油,塑料,Undirected,94807,,,1.0
汽油,天然气,Undirected,94808,,,2.0
油气,化肥,Undirected,94810,,,2.0
能源,燃烧,Undirected,94811,,,8.0
碳,PM2.5,Undirected,94813,,,9.0
空气质量,沉淀,Undirected,94814,,,2.0
金,红外,Undirected,94818,,,2.0
电子,能源,Undirected,94819,,,17.0
金,炸药,Undirected,94824,,,2.0
空气质量,PM2.5,Undirected,94828,,,38.0
钻石,核能,Undirected,94831,,,1.0
盐,发酵,Undirected,94833,,,4.0
能源,电池,Undirected,94834,,,5.0
发酵,固体,Undirected,94851,,,2.0
废水,含量,Undirected,94855,,,3.0
铜,重金属,Undirected,94861,,,3.0
微克,大气污染,Undirected,94864,,,20.0
金,水,Undirected,94867,,,21.0
废水,燃烧,Undirected,94868,,,5.0
燃料,钢铁,Undirected,94877,,,1.0
水,银,Undirected,94904,,,8.0
玻璃,爆炸物,Undirected,94909,,,5.0
钻石,银,Undirected,94911,,,2.0
二氧化碳,水,Undirected,94915,,,2.0
合成,水,Undirected,94924,,,1.0
石油,海水,Undirected,94925,,,6.0
液体,固体,Undirected,94926,,,4.0
石油,化学,Undirected,94928,,,9.0
合成,DNA,Undirected,94932,,,2.0
能量,腐蚀,Undirected,94933,,,5.0
水泥,能源,Undirected,94945,,,6.0
盐,能量,Undirected,94948,,,2.0
塑料,金,Undirected,94949,,,7.0
玻璃,炸药,Undirected,94952,,,5.0
金,成分,Undirected,94954,,,9.0
水,竞争性,Undirected,94955,,,3.0
能量,电子,Undirected,94962,,,8.0
水泥,天然,Undirected,94966,,,1.0
水,化肥,Undirected,94967,,,9.0
沉淀,族,Undirected,94980,,,1.0
天然气,太阳能,Undirected,94981,,,2.0
天然气,分子,Undirected,94992,,,14.0
煤,游离,Undirected,95005,,,1.0
铁,升华,Undirected,95016,,,4.0
汽油,水,Undirected,95021,,,11.0
成分,营养,Undirected,95024,,,3.0
玻璃,分解,Undirected,95026,,,2.0
含量,炸药,Undirected,95045,,,1.0
