id,label,timeset,weighted degree
能源,能源,,1818.0
水,水,,1204.0
铜,铜,,193.0
镍,镍,,133.0
分子,分子,,514.0
热量,热量,,119.0
碳,碳,,502.0
汽油,汽油,,425.0
金,金,,894.0
矿泉水,矿泉水,,120.0
石油,石油,,2186.0
电子,电子,,451.0
铁,铁,,164.0
煤,煤,,259.0
天然气,天然气,,998.0
油气,油气,,253.0
燃料,燃料,,900.0
盐,盐,,171.0
油脂,油脂,,100.0
营养,营养,,283.0
玻璃,玻璃,,374.0
焚烧,焚烧,,179.0
激素,激素,,99.0
天然,天然,,307.0
二氧化碳,二氧化碳,,283.0
铅,铅,,255.0
含量,含量,,756.0
炸药,炸药,,151.0
核反应堆,核反应堆,,386.0
化学物质,化学物质,,100.0
食用油,食用油,,125.0
脂肪,脂肪,,122.0
化学,化学,,340.0
塑料,塑料,,205.0
剂量,剂量,,204.0
太阳能,太阳能,,418.0
爆炸物,爆炸物,,106.0
燃烧,燃烧,,332.0
成分,成分,,260.0
水分,水分,,111.0
分解,分解,,168.0
DNA,DNA,,100.0
合成,合成,,143.0
水泥,水泥,,269.0
钢铁,钢铁,,227.0
铀,铀,,238.0
核燃料,核燃料,,273.0
核能,核能,,496.0
温室气体,温室气体,,207.0
气体,气体,,217.0
风能,风能,,153.0
干燥,干燥,,109.0
空气质量,空气质量,,210.0
化肥,化肥,,132.0
液体,液体,,115.0
电池,电池,,155.0
发酵,发酵,,206.0
大气污染,大气污染,,169.0
能量,能量,,316.0
二氧化硫,二氧化硫,,101.0
乙醇,乙醇,,197.0
柴油,柴油,,239.0
锡,锡,,129.0
放射性污染,放射性污染,,134.0
放射性,放射性,,426.0
氧气,氧气,,131.0
海水,海水,,520.0
抗生素,抗生素,,109.0
重金属,重金属,,118.0
添加剂,添加剂,,259.0
铝,铝,,151.0
废水,废水,,146.0
化工厂,化工厂,,132.0
铁矿石,铁矿石,,110.0
锌,锌,,152.0
粒子,粒子,,101.0
PM2.5,PM2.5,,127.0
食品添加剂,食品添加剂,,243.0
蛋白质,蛋白质,,135.0
氢气,氢气,,208.0
冷却水,冷却水,,121.0
放射性同位素,放射性同位素,,132.0
碘,碘,,400.0
铯,铯,,169.0
辐射剂量,辐射剂量,,101.0
