id,label,timeset,weighted degree
金,金,,295.0
电子,电子,,132.0
化肥,化肥,,45.0
铀,铀,,68.0
分子,分子,,170.0
不锈钢,不锈钢,,28.0
水,水,,449.0
能源,能源,,506.0
油气,油气,,115.0
PM2.5,PM2.5,,121.0
回流,回流,,32.0
天然气,天然气,,274.0
石油,石油,,597.0
成分,成分,,136.0
矿泉水,矿泉水,,46.0
水污染,水污染,,35.0
营养,营养,,118.0
燃料,燃料,,113.0
炸药,炸药,,39.0
铁,铁,,79.0
天然,天然,,136.0
浓缩铀,浓缩铀,,52.0
核能,核能,,55.0
发酵,发酵,,140.0
化学,化学,,95.0
含量,含量,,225.0
游离,游离,,32.0
化工厂,化工厂,,45.0
煤,煤,,86.0
水泥,水泥,,124.0
空气质量,空气质量,,114.0
微克,微克,,51.0
大气污染,大气污染,,91.0
汽油,汽油,,97.0
钢铁,钢铁,,104.0
盐,盐,,55.0
废渣,废渣,,32.0
过滤,过滤,,27.0
竞争性,竞争性,,45.0
有色金属,有色金属,,40.0
镉,镉,,60.0
废水,废水,,45.0
冶炼,冶炼,,39.0
重金属,重金属,,76.0
能量,能量,,125.0
铜,铜,,65.0
升华,升华,,44.0
玻璃,玻璃,,136.0
燃烧,燃烧,,97.0
核燃料,核燃料,,30.0
核反应堆,核反应堆,,35.0
添加剂,添加剂,,66.0
DNA,DNA,,36.0
海水,海水,,64.0
合成,合成,,30.0
碳,碳,,97.0
柴油,柴油,,43.0
分解,分解,,52.0
食用油,食用油,,39.0
蛋白质,蛋白质,,45.0
原子弹,原子弹,,32.0
沉淀,沉淀,,36.0
周期性,周期性,,34.0
水分,水分,,53.0
粉尘,粉尘,,29.0
二氧化碳,二氧化碳,,34.0
油脂,油脂,,27.0
焚烧,焚烧,,71.0
铁矿石,铁矿石,,32.0
临界点,临界点,,28.0
铬,铬,,86.0
乙醇,乙醇,,65.0
钻石,钻石,,28.0
铅,铅,,42.0
液体,液体,,56.0
塑料,塑料,,68.0
食品添加剂,食品添加剂,,50.0
气体,气体,,37.0
腐蚀,腐蚀,,52.0
明胶,明胶,,71.0
臭氧,臭氧,,37.0
太阳能,太阳能,,87.0
钼,钼,,30.0
二氧化硫,二氧化硫,,44.0
剂量,剂量,,34.0
银,银,,40.0
酸奶,酸奶,,29.0
