id,label,timeset,weighted degree
石油,石油,,860.0
水,水,,866.0
盐,盐,,62.0
能源,能源,,933.0
砷,砷,,57.0
水污染,水污染,,161.0
汞,汞,,46.0
化学物质,化学物质,,51.0
废水,废水,,114.0
含量,含量,,252.0
发酵,发酵,,185.0
钢铁,钢铁,,213.0
柴油,柴油,,89.0
汽油,汽油,,122.0
大气污染,大气污染,,513.0
PM2.5,PM2.5,,353.0
金,金,,499.0
分子,分子,,255.0
天然气,天然气,,506.0
油气,油气,,190.0
肥料,肥料,,54.0
核能,核能,,56.0
铅,铅,,81.0
镉,镉,,99.0
营养,营养,,151.0
水分,水分,,95.0
有色金属,有色金属,,66.0
重金属,重金属,,114.0
炸药,炸药,,65.0
铀,铀,,54.0
游离,游离,,57.0
有机物,有机物,,63.0
水泥,水泥,,268.0
挥发性,挥发性,,45.0
天然,天然,,261.0
电子,电子,,223.0
玻璃,玻璃,,204.0
煤气,煤气,,49.0
燃烧,燃烧,,193.0
化工厂,化工厂,,133.0
竞争性,竞争性,,103.0
微克,微克,,94.0
空气质量,空气质量,,351.0
DNA,DNA,,87.0
原子弹,原子弹,,64.0
沉淀,沉淀,,93.0
二氧化硫,二氧化硫,,136.0
化肥,化肥,,87.0
抗生素,抗生素,,46.0
碳,碳,,181.0
蛋白质,蛋白质,,56.0
成分,成分,,184.0
铁,铁,,196.0
煤,煤,,203.0
废气,废气,,85.0
能量,能量,,239.0
燃料,燃料,,161.0
周期性,周期性,,61.0
取样,取样,,47.0
海水,海水,,76.0
液体,液体,,74.0
煤化工,煤化工,,72.0
合成,合成,,56.0
添加剂,添加剂,,53.0
氮氧化物,氮氧化物,,77.0
脱硫,脱硫,,69.0
脱硝,脱硝,,45.0
化学,化学,,173.0
化学武器,化学武器,,74.0
铜,铜,,83.0
焚烧,焚烧,,101.0
腐蚀,腐蚀,,76.0
太阳能,太阳能,,133.0
气体,气体,,94.0
塑料,塑料,,98.0
二氧化碳,二氧化碳,,80.0
回流,回流,,55.0
粉尘,粉尘,,85.0
分解,分解,,142.0
剂量,剂量,,70.0
过滤,过滤,,70.0
电池,电池,,57.0
钻石,钻石,,49.0
矿泉水,矿泉水,,89.0
臭氧,臭氧,,45.0
干燥,干燥,,47.0
页岩气,页岩气,,62.0
