id,label,timeset,weighted degree
粒子,粒子,,19.0
天然,天然,,47.0
合成,合成,,32.0
含量,含量,,67.0
加热,加热,,27.0
化学,化学,,36.0
脂肪,脂肪,,40.0
成分,成分,,57.0
水,水,,69.0
分子,分子,,50.0
挥发性,挥发性,,10.0
分解,分解,,19.0
电子,电子,,11.0
原子,原子,,18.0
化学成分,化学成分,,9.0
聚乙烯,聚乙烯,,8.0
化学反应,化学反应,,13.0
固体,固体,,15.0
蜡,蜡,,8.0
液体,液体,,17.0
聚丙烯,聚丙烯,,9.0
二氧化碳,二氧化碳,,13.0
玻璃,玻璃,,16.0
塑料,塑料,,13.0
能量,能量,,51.0
质子,质子,,12.0
热量,热量,,31.0
气体,气体,,20.0
X射线,X射线,,8.0
DNA,DNA,,27.0
抗生素,抗生素,,24.0
阻断剂,阻断剂,,9.0
糖类,糖类,,8.0
维生素,维生素,,25.0
砷,砷,,20.0
蛋白质,蛋白质,,39.0
相互作用,相互作用,,9.0
微克,微克,,8.0
糖,糖,,27.0
化学家,化学家,,11.0
氧化,氧化,,17.0
抗氧化,抗氧化,,8.0
营养,营养,,55.0
激素,激素,,29.0
量子,量子,,8.0
纳米,纳米,,8.0
游离,游离,,10.0
燃料,燃料,,12.0
乙醇,乙醇,,19.0
钙,钙,,21.0
葡萄糖,葡萄糖,,9.0
能源,能源,,8.0
淀粉,淀粉,,18.0
纤维素,纤维素,,12.0
氨基酸,氨基酸,,14.0
胆固醇,胆固醇,,12.0
金,金,,12.0
酸奶,酸奶,,9.0
咖啡因,咖啡因,,11.0
水分,水分,,12.0
化学物质,化学物质,,13.0
碳,碳,,17.0
降解,降解,,8.0
脱水,脱水,,11.0
燃烧,燃烧,,16.0
酶,酶,,9.0
干燥,干燥,,17.0
盐,盐,,33.0
矿物质,矿物质,,20.0
酸,酸,,14.0
水解,水解,,10.0
金箔,金箔,,13.0
剂量,剂量,,25.0
营养物质,营养物质,,10.0
发酵,发酵,,10.0
油脂,油脂,,9.0
铁,铁,,15.0
锌,锌,,8.0
氢,氢,,12.0
氧,氧,,9.0
氮,氮,,10.0
氧气,氧气,,17.0
色素,色素,,13.0
海水,海水,,10.0
血糖,血糖,,10.0
钠,钠,,9.0
蔗糖,蔗糖,,16.0
甜味剂,甜味剂,,10.0
