id,label,timeset,weighted degree
石油,石油,,15.0
氧气,氧气,,39.0
液体,液体,,44.0
气体,气体,,44.0
化学反应,化学反应,,19.0
二氧化碳,二氧化碳,,40.0
电子,电子,,39.0
原子核,原子核,,16.0
精度,精度,,19.0
质子,质子,,14.0
水,水,,136.0
相互作用,相互作用,,27.0
化学家,化学家,,28.0
原子,原子,,30.0
粒子,粒子,,41.0
玻璃,玻璃,,24.0
能量,能量,,82.0
合成,合成,,57.0
化学,化学,,71.0
塑料,塑料,,15.0
成分,成分,,86.0
蛋白质,蛋白质,,80.0
分子,分子,,95.0
DNA,DNA,,44.0
脱水,脱水,,13.0
含量,含量,,113.0
加热,加热,,36.0
海水,海水,,27.0
发酵,发酵,,28.0
乙醇,乙醇,,27.0
营养,营养,,101.0
天然,天然,,81.0
线粒体,线粒体,,16.0
量子,量子,,17.0
重金属,重金属,,22.0
激素,激素,,48.0
阻断剂,阻断剂,,31.0
光合作用,光合作用,,17.0
矿物质,矿物质,,32.0
抗生素,抗生素,,74.0
爱因斯坦,爱因斯坦,,24.0
分解,分解,,45.0
燃料,燃料,,23.0
铁,铁,,21.0
碳,碳,,21.0
氧化,氧化,,24.0
脂肪,脂肪,,64.0
细胞膜,细胞膜,,14.0
油脂,油脂,,18.0
胆固醇,胆固醇,,15.0
量子力学,量子力学,,19.0
氧,氧,,24.0
剂量,剂量,,56.0
酸,酸,,28.0
钙,钙,,17.0
盐,盐,,37.0
砷,砷,,19.0
金,金,,33.0
溶液,溶液,,16.0
太阳能,太阳能,,16.0
有机物,有机物,,17.0
干燥,干燥,,27.0
燃烧,燃烧,,29.0
维生素,维生素,,34.0
热量,热量,,46.0
糖,糖,,61.0
色素,色素,,22.0
酶,酶,,29.0
营养物质,营养物质,,21.0
添加剂,添加剂,,14.0
氢,氢,,19.0
矿物,矿物,,17.0
炼金术,炼金术,,13.0
水分,水分,,39.0
氨基酸,氨基酸,,22.0
等价,等价,,18.0
副产物,副产物,,17.0
能源,能源,,20.0
固体,固体,,15.0
降解,降解,,17.0
葡萄糖,葡萄糖,,23.0
化学物质,化学物质,,28.0
水解,水解,,13.0
淀粉,淀粉,,18.0
雌激素,雌激素,,14.0
食品添加剂,食品添加剂,,13.0
酸性,酸性,,15.0
