id,label,timeset,weighted degree
固态,固态,,4.0
天然,天然,,25.0
液态,液态,,4.0
成分,成分,,24.0
水,水,,29.0
甜味剂,甜味剂,,4.0
咖啡因,咖啡因,,4.0
固体,固体,,4.0
液体,液体,,7.0
蔗糖,蔗糖,,4.0
二氧化碳,二氧化碳,,7.0
气体,气体,,11.0
抗生素,抗生素,,13.0
有机物,有机物,,5.0
含量,含量,,27.0
分解,分解,,8.0
水分,水分,,8.0
发酵,发酵,,6.0
氧气,氧气,,8.0
氧,氧,,4.0
氮,氮,,4.0
干燥,干燥,,5.0
化学反应,化学反应,,6.0
蛋白质,蛋白质,,19.0
分子,分子,,16.0
DNA,DNA,,8.0
化学成分,化学成分,,5.0
热量,热量,,14.0
酸性,酸性,,4.0
化学物质,化学物质,,7.0
盐,盐,,11.0
甲烷,甲烷,,4.0
酶,酶,,6.0
能量,能量,,25.0
脂肪,脂肪,,8.0
营养,营养,,12.0
氨基酸,氨基酸,,7.0
阻断剂,阻断剂,,5.0
化学合成,化学合成,,4.0
化学家,化学家,,5.0
化学,化学,,27.0
砷,砷,,9.0
熔炉,熔炉,,4.0
铁,铁,,7.0
炼金术,炼金术,,6.0
铅,铅,,5.0
化学工业,化学工业,,7.0
金,金,,8.0
汞,汞,,4.0
杂质,杂质,,4.0
玻璃,玻璃,,7.0
光合作用,光合作用,,6.0
燃料,燃料,,5.0
光谱,光谱,,4.0
电池,电池,,6.0
硅,硅,,4.0
晶体,晶体,,6.0
糖,糖,,7.0
吸收率,吸收率,,4.0
燃烧,燃烧,,7.0
乙醇,乙醇,,8.0
电子,电子,,9.0
加热,加热,,9.0
氢,氢,,5.0
矿物,矿物,,4.0
波长,波长,,4.0
金箔,金箔,,5.0
重金属,重金属,,4.0
合成,合成,,10.0
海水,海水,,10.0
维生素,维生素,,7.0
矿物质,矿物质,,6.0
科尔伯,科尔伯,,5.0
富集,富集,,6.0
钙,钙,,6.0
碳,碳,,7.0
粒子,粒子,,6.0
碳酸钙,碳酸钙,,4.0
激素,激素,,5.0
谷氨酸,谷氨酸,,4.0
石油,石油,,5.0
溶液,溶液,,4.0
塑料,塑料,,5.0
淀粉,淀粉,,4.0
