id,label,timeset,weighted degree
天然,天然,,95.0
维生素,维生素,,26.0
成分,成分,,94.0
热量,热量,,50.0
精度,精度,,15.0
剂量,剂量,,59.0
胆固醇,胆固醇,,17.0
营养,营养,,95.0
乙醇,乙醇,,28.0
砷,砷,,22.0
蛋白质,蛋白质,,74.0
水,水,,137.0
铁,铁,,19.0
合成,合成,,61.0
含量,含量,,117.0
氧化,氧化,,25.0
分子,分子,,101.0
DNA,DNA,,69.0
营养物质,营养物质,,17.0
维生素C,维生素C,,17.0
电子,电子,,35.0
原子弹,原子弹,,15.0
能量,能量,,128.0
胰岛素,胰岛素,,16.0
糖,糖,,47.0
盐,盐,,27.0
重金属,重金属,,16.0
光合作用,光合作用,,21.0
水分,水分,,32.0
氢,氢,,22.0
能源,能源,,29.0
化学,化学,,80.0
碳,碳,,27.0
动力学,动力学,,14.0
金,金,,45.0
波长,波长,,17.0
二氧化碳,二氧化碳,,39.0
分解,分解,,46.0
加热,加热,,50.0
燃料,燃料,,26.0
质子,质子,,14.0
固体,固体,,16.0
原子,原子,,36.0
粒子,粒子,,49.0
气体,气体,,45.0
激素,激素,,34.0
抗生素,抗生素,,64.0
矿物质,矿物质,,24.0
色素,色素,,17.0
细胞膜,细胞膜,,27.0
RNA,RNA,,16.0
特异性,特异性,,20.0
化学物质,化学物质,,36.0
氧气,氧气,,41.0
氧,氧,,17.0
液体,液体,,40.0
玻璃,玻璃,,21.0
塑料,塑料,,21.0
海水,海水,,24.0
钾,钾,,16.0
燃烧,燃烧,,36.0
酶,酶,,42.0
化学家,化学家,,19.0
油脂,油脂,,16.0
葡萄糖,葡萄糖,,20.0
淀粉,淀粉,,21.0
脂肪,脂肪,,48.0
阻断剂,阻断剂,,19.0
食品添加剂,食品添加剂,,18.0
爱因斯坦,爱因斯坦,,48.0
氨基酸,氨基酸,,20.0
酸,酸,,17.0
副产物,副产物,,14.0
化学成分,化学成分,,14.0
量子,量子,,22.0
相互作用,相互作用,,33.0
发酵,发酵,,17.0
X射线,X射线,,23.0
量子力学,量子力学,,29.0
太阳能,太阳能,,16.0
酸性,酸性,,17.0
钙,钙,,24.0
干燥,干燥,,30.0
量子论,量子论,,16.0
