id,label,timeset,weighted degree
水泥,水泥,,70.0
空气质量,空气质量,,102.0
柴油,柴油,,23.0
汽油,汽油,,48.0
电子,电子,,201.0
油气,油气,,39.0
铁,铁,,65.0
塑料,塑料,,51.0
分子,分子,,105.0
发酵,发酵,,61.0
能量,能量,,151.0
沉淀,沉淀,,69.0
腐蚀,腐蚀,,21.0
天然,天然,,103.0
化学,化学,,99.0
抗生素,抗生素,,17.0
纳米,纳米,,34.0
石油,石油,,190.0
营养,营养,,83.0
合成,合成,,48.0
红外,红外,,17.0
升华,升华,,34.0
化工厂,化工厂,,19.0
天然气,天然气,,82.0
燃料,燃料,,57.0
能源,能源,,252.0
族,族,,29.0
干燥,干燥,,17.0
水分,水分,,38.0
过滤,过滤,,44.0
金,金,,239.0
玻璃,玻璃,,104.0
粉尘,粉尘,,26.0
分解,分解,,48.0
大气污染,大气污染,,131.0
蛋白质,蛋白质,,36.0
水,水,,319.0
水污染,水污染,,22.0
温室气体,温室气体,,30.0
竞争性,竞争性,,27.0
铜,铜,,42.0
银,银,,37.0
炸药,炸药,,17.0
添加剂,添加剂,,17.0
太阳能,太阳能,,62.0
燃烧,燃烧,,86.0
气体,气体,,43.0
盐,盐,,34.0
碳,碳,,119.0
加热,加热,,26.0
化学反应,化学反应,,20.0
成分,成分,,39.0
精度,精度,,41.0
矿泉水,矿泉水,,34.0
黄土,黄土,,26.0
钢铁,钢铁,,58.0
酸,酸,,17.0
电池,电池,,55.0
PM2.5,PM2.5,,82.0
乙醇,乙醇,,22.0
焊接,焊接,,47.0
钻石,钻石,,22.0
二氧化硫,二氧化硫,,29.0
氮氧化物,氮氧化物,,24.0
聚合,聚合,,28.0
化肥,化肥,,34.0
含量,含量,,50.0
催化剂,催化剂,,21.0
煤,煤,,33.0
二氧化碳,二氧化碳,,52.0
周期性,周期性,,18.0
回流,回流,,26.0
海水,海水,,21.0
粒子,粒子,,23.0
锂电池,锂电池,,17.0
核能,核能,,17.0
废气,废气,,21.0
液体,液体,,31.0
糖,糖,,22.0
蜡烛,蜡烛,,29.0
氧气,氧气,,27.0
燃料电池,燃料电池,,19.0
焚烧,焚烧,,36.0
辛酸,辛酸,,18.0
废水,废水,,22.0
DNA,DNA,,35.0
陶瓷,陶瓷,,22.0
