id,label,timeset,weighted degree
液体,液体,,19.0
天然气,天然气,,117.0
能源,能源,,282.0
金,金,,219.0
升华,升华,,32.0
水,水,,364.0
重金属,重金属,,31.0
腐蚀,腐蚀,,20.0
燃烧,燃烧,,98.0
营养,营养,,90.0
DNA,DNA,,54.0
天然,天然,,89.0
水分,水分,,31.0
汽油,汽油,,82.0
焚烧,焚烧,,30.0
电子,电子,,211.0
塑料,塑料,,58.0
燃料,燃料,,70.0
锂电池,锂电池,,19.0
电池,电池,,52.0
成分,成分,,58.0
玻璃,玻璃,,90.0
石油,石油,,239.0
矿泉水,矿泉水,,41.0
能量,能量,,171.0
PM2.5,PM2.5,,134.0
空气质量,空气质量,,120.0
废水,废水,,41.0
二氧化硫,二氧化硫,,32.0
含量,含量,,95.0
煤,煤,,47.0
二氧化碳,二氧化碳,,61.0
太阳能,太阳能,,68.0
分解,分解,,48.0
铁,铁,,72.0
沉淀,沉淀,,41.0
粉尘,粉尘,,27.0
钢铁,钢铁,,81.0
不锈钢,不锈钢,,20.0
柴油,柴油,,34.0
乙醇,乙醇,,26.0
炸药,炸药,,21.0
化学,化学,,98.0
酿造,酿造,,21.0
水泥,水泥,,94.0
铜,铜,,39.0
盐,盐,,33.0
焊接,焊接,,56.0
海水,海水,,38.0
氧气,氧气,,26.0
蜡烛,蜡烛,,25.0
镉,镉,,25.0
精度,精度,,35.0
发酵,发酵,,78.0
取样,取样,,21.0
过滤,过滤,,30.0
碳,碳,,132.0
油气,油气,,51.0
大气污染,大气污染,,147.0
氮氧化物,氮氧化物,,19.0
水污染,水污染,,45.0
碳环,碳环,,19.0
加热,加热,,25.0
添加剂,添加剂,,19.0
银,银,,27.0
剂量,剂量,,26.0
回流,回流,,25.0
分子,分子,,83.0
纳米,纳米,,34.0
化肥,化肥,,30.0
煤化工,煤化工,,19.0
核能,核能,,28.0
化学武器,化学武器,,25.0
蛋白质,蛋白质,,24.0
合成,合成,,36.0
化工厂,化工厂,,25.0
气体,气体,,42.0
量子,量子,,20.0
催化剂,催化剂,,19.0
微克,微克,,26.0
铀,铀,,25.0
爱因斯坦,爱因斯坦,,24.0
废气,废气,,25.0
红外,红外,,22.0
