id,label,timeset,weighted degree
升华,升华,,38.0
化学,化学,,98.0
铁,铁,,74.0
水,水,,372.0
电子,电子,,177.0
水分,水分,,34.0
能源,能源,,318.0
沉淀,沉淀,,48.0
分解,分解,,45.0
含量,含量,,74.0
海水,海水,,40.0
石油,石油,,241.0
矿泉水,矿泉水,,42.0
钢铁,钢铁,,83.0
纳米,纳米,,26.0
合成,合成,,29.0
糖,糖,,34.0
蛋白质,蛋白质,,25.0
大气污染,大气污染,,123.0
辛酸,辛酸,,23.0
黄土,黄土,,21.0
爱因斯坦,爱因斯坦,,21.0
太阳能,太阳能,,75.0
碳,碳,,120.0
玻璃,玻璃,,86.0
盐,盐,,22.0
砝码,砝码,,24.0
金,金,,208.0
燃烧,燃烧,,91.0
铜,铜,,35.0
能量,能量,,157.0
天然气,天然气,,161.0
分子,分子,,118.0
油气,油气,,59.0
游离,游离,,22.0
竞争性,竞争性,,21.0
天然,天然,,93.0
铅,铅,,21.0
核能,核能,,29.0
水泥,水泥,,105.0
银,银,,29.0
水污染,水污染,,44.0
发酵,发酵,,86.0
红外,红外,,21.0
液体,液体,,26.0
塑料,塑料,,39.0
乙醇,乙醇,,20.0
营养,营养,,95.0
重金属,重金属,,29.0
空气质量,空气质量,,92.0
成分,成分,,53.0
聚合,聚合,,25.0
DNA,DNA,,44.0
二氧化碳,二氧化碳,,52.0
精度,精度,,26.0
柴油,柴油,,35.0
废气,废气,,22.0
氧气,氧气,,27.0
PM2.5,PM2.5,,103.0
电池,电池,,65.0
化学反应,化学反应,,20.0
汽油,汽油,,65.0
煤,煤,,56.0
废水,废水,,32.0
化工厂,化工厂,,24.0
粉尘,粉尘,,27.0
剂量,剂量,,20.0
焊接,焊接,,43.0
浸润,浸润,,20.0
肥料,肥料,,20.0
脱硫,脱硫,,20.0
页岩气,页岩气,,21.0
焚烧,焚烧,,33.0
过滤,过滤,,31.0
氮氧化物,氮氧化物,,23.0
粒子,粒子,,24.0
化肥,化肥,,31.0
干燥,干燥,,27.0
加热,加热,,25.0
蜡烛,蜡烛,,25.0
二氧化硫,二氧化硫,,40.0
燃料,燃料,,48.0
苯,苯,,20.0
气体,气体,,34.0
