id,label,timeset,weighted degree
液体,液体,,59.0
微米,微米,,20.0
干燥,干燥,,30.0
乙醇,乙醇,,35.0
电子,电子,,38.0
分子,分子,,155.0
胰岛素,胰岛素,,24.0
维生素,维生素,,19.0
盐,盐,,24.0
血糖,血糖,,16.0
营养,营养,,77.0
蛋白质,蛋白质,,93.0
塑料,塑料,,24.0
波长,波长,,24.0
合成,合成,,68.0
DNA,DNA,,89.0
糖,糖,,34.0
铁,铁,,28.0
氢,氢,,16.0
硅,硅,,16.0
化学,化学,,103.0
热量,热量,,48.0
化学成分,化学成分,,27.0
钙,钙,,15.0
RNA,RNA,,28.0
酶,酶,,32.0
能源,能源,,30.0
气体,气体,,65.0
太阳能,太阳能,,17.0
能量,能量,,107.0
加热,加热,,46.0
海水,海水,,20.0
液态,液态,,20.0
氧,氧,,24.0
水,水,,136.0
原子,原子,,32.0
抗生素,抗生素,,25.0
燃烧,燃烧,,34.0
剂量,剂量,,45.0
晶体,晶体,,20.0
氧气,氧气,,41.0
化学家,化学家,,25.0
神经递质,神经递质,,15.0
燃料,燃料,,26.0
氮气,氮气,,15.0
制备,制备,,18.0
天然,天然,,59.0
甲烷,甲烷,,23.0
光谱,光谱,,26.0
氮,氮,,21.0
化学反应,化学反应,,17.0
成分,成分,,80.0
含量,含量,,110.0
脂肪,脂肪,,36.0
矿物质,矿物质,,19.0
相互作用,相互作用,,45.0
特异性,特异性,,16.0
化学物质,化学物质,,34.0
精度,精度,,20.0
爱因斯坦,爱因斯坦,,22.0
粒子,粒子,,36.0
放射性,放射性,,15.0
荧光,荧光,,21.0
分解,分解,,40.0
水分,水分,,41.0
金,金,,40.0
氨基酸,氨基酸,,21.0
玻璃,玻璃,,27.0
碳,碳,,40.0
二氧化碳,二氧化碳,,32.0
发酵,发酵,,18.0
副产物,副产物,,19.0
氧化,氧化,,31.0
激素,激素,,34.0
纳米,纳米,,26.0
富集,富集,,19.0
葡萄糖,葡萄糖,,16.0
淀粉,淀粉,,18.0
红外,红外,,25.0
溶液,溶液,,29.0
固体,固体,,15.0
电池,电池,,18.0
矿物,矿物,,19.0
X射线,X射线,,17.0
