id,label,timeset,weighted degree
塑料,塑料,,47.0
合成,合成,,87.0
能源,能源,,40.0
二氧化碳,二氧化碳,,37.0
干燥,干燥,,39.0
太阳能,太阳能,,29.0
DNA,DNA,,101.0
含量,含量,,165.0
RNA,RNA,,16.0
化学,化学,,90.0
纳米,纳米,,28.0
溶液,溶液,,23.0
电子,电子,,60.0
碳,碳,,28.0
加热,加热,,56.0
相互作用,相互作用,,25.0
微米,微米,,22.0
蔗糖,蔗糖,,20.0
蛋白质,蛋白质,,108.0
激素,激素,,57.0
剂量,剂量,,62.0
乙醇,乙醇,,39.0
钙,钙,,30.0
放射性,放射性,,18.0
原子,原子,,33.0
液体,液体,,50.0
玻璃,玻璃,,40.0
血糖,血糖,,33.0
能量,能量,,134.0
铁,铁,,39.0
成分,成分,,111.0
热量,热量,,62.0
燃烧,燃烧,,43.0
燃料,燃料,,26.0
水,水,,134.0
电池,电池,,37.0
游离,游离,,17.0
氧化,氧化,,33.0
添加剂,添加剂,,16.0
重金属,重金属,,17.0
营养,营养,,109.0
天然,天然,,79.0
油脂,油脂,,37.0
金,金,,45.0
分子,分子,,136.0
水分,水分,,57.0
氧气,氧气,,38.0
降解,降解,,25.0
分解,分解,,64.0
酶,酶,,35.0
色素,色素,,34.0
维生素,维生素,,34.0
抗氧化,抗氧化,,16.0
淀粉,淀粉,,25.0
营养物质,营养物质,,25.0
氨基酸,氨基酸,,25.0
固体,固体,,22.0
胆固醇,胆固醇,,28.0
脂肪,脂肪,,100.0
糖,糖,,73.0
气体,气体,,38.0
化学物质,化学物质,,42.0
粒子,粒子,,31.0
酸,酸,,27.0
动力学,动力学,,19.0
化学成分,化学成分,,20.0
化学家,化学家,,18.0
盐,盐,,31.0
发酵,发酵,,19.0
糖类,糖类,,22.0
胰岛素,胰岛素,,19.0
葡萄糖,葡萄糖,,34.0
晶体,晶体,,22.0
副产物,副产物,,17.0
石油,石油,,16.0
矿物质,矿物质,,25.0
过滤,过滤,,17.0
脱水,脱水,,18.0
有机物,有机物,,16.0
光合作用,光合作用,,16.0
海水,海水,,22.0
抗生素,抗生素,,21.0
雌激素,雌激素,,24.0
纤维素,纤维素,,19.0
精度,精度,,17.0
硬度,硬度,,16.0
微克,微克,,17.0
