Source,Target,Type,Id,Label,Weight
蒸汽锅炉,钢铁,Undirected,11314,,1.0
钢铁,琥珀,Undirected,11336,,1.0
钢铁,液体,Undirected,13796,,1.0
钢铁,合成,Undirected,13890,,1.0
钢铁,化学,Undirected,11984,,1.0
钢铁,纳米,Undirected,12227,,1.0
钢铁,玻璃纤维,Undirected,14578,,1.0
钢铁,精度,Undirected,13848,,1.0
钢铁,相对性,Undirected,13825,,1.0
钢铁,喷射枪,Undirected,14587,,1.0
激素,DNA,Undirected,11315,,2.0
激素,热量,Undirected,11906,,1.0
激素,脂,Undirected,13670,,1.0
激素,蛋白质,Undirected,13538,,1.0
激素,乳酸,Undirected,12120,,1.0
激素,降解,Undirected,12648,,1.0
激素,晶体,Undirected,12573,,1.0
激素,腺苷酸环化酶,Undirected,11386,,1.0
激素,神经毒素,Undirected,13950,,1.0
激素,化学,Undirected,11722,,3.0
激素,抗氧化,Undirected,13245,,1.0
激素,脱水,Undirected,13755,,1.0
激素,水污染,Undirected,11772,,1.0
激素,雌激素,Undirected,14139,,1.0
激素,聚酯,Undirected,13885,,1.0
激素,酮康唑,Undirected,12753,,1.0
激素,荷尔蒙,Undirected,12682,,1.0
激素,对照试验,Undirected,12198,,2.0
激素,着床,Undirected,12246,,1.0
激素,引发剂,Undirected,12364,,1.0
激素,孕激素,Undirected,12677,,1.0
激素,脱氢表雄酮,Undirected,12717,,1.0
激素,二倍体,Undirected,13871,,1.0
激素,可的松,Undirected,14073,,1.0
DNA,电子,Undirected,11458,,5.0
DNA,含量,Undirected,11487,,1.0
DNA,蛋白质,Undirected,13645,,1.0
DNA,石油,Undirected,13492,,1.0
DNA,糖,Undirected,12170,,1.0
DNA,能源,Undirected,12986,,1.0
DNA,酸腐蚀,Undirected,11351,,1.0
DNA,成分,Undirected,13880,,2.0
DNA,降解,Undirected,13702,,1.0
DNA,液体,Undirected,11374,,2.0
DNA,腺嘌呤,Undirected,14235,,1.0
DNA,培养皿,Undirected,12319,,1.0
DNA,油脂,Undirected,13166,,1.0
DNA,化学,Undirected,12696,,1.0
DNA,砷,Undirected,13518,,1.0
DNA,放射性,Undirected,14363,,1.0
DNA,核苷酸,Undirected,14339,,1.0
DNA,纳米,Undirected,12296,,1.0
DNA,硅基,Undirected,12758,,1.0
DNA,RNA,Undirected,13453,,3.0
DNA,氮气,Undirected,14115,,1.0
DNA,断层扫描,Undirected,14507,,1.0
DNA,镉,Undirected,12053,,1.0
DNA,引火物,Undirected,11700,,1.0
DNA,雌激素,Undirected,12810,,1.0
DNA,碱基对,Undirected,13082,,1.0
DNA,化学工业,Undirected,12738,,1.0
DNA,核磁共振,Undirected,11926,,1.0
DNA,洗脱,Undirected,11948,,1.0
DNA,墨水,Undirected,12339,,1.0
DNA,可卡因,Undirected,12515,,1.0
DNA,转录,Undirected,13147,,1.0
DNA,植物激素,Undirected,12235,,1.0
DNA,着床,Undirected,14155,,1.0
DNA,氧化产物,Undirected,12267,,1.0
DNA,信息素,Undirected,14000,,1.0
DNA,化学变化,Undirected,12469,,1.0
DNA,能量代谢,Undirected,12815,,1.0
DNA,可溶性,Undirected,13686,,1.0
DNA,可逆性,Undirected,13246,,1.0
剂量,DNA,Undirected,12572,,1.0
剂量,电子,Undirected,11316,,1.0
剂量,水,Undirected,12678,,1.0
剂量,含量,Undirected,11771,,12.0
剂量,盐,Undirected,11779,,1.0
剂量,天然,Undirected,13746,,1.0
剂量,碳,Undirected,11571,,1.0
剂量,胰岛素,Undirected,14118,,1.0
剂量,锌,Undirected,13460,,1.0
剂量,淀粉,Undirected,11609,,1.0
剂量,发酵,Undirected,13318,,1.0
剂量,原子弹,Undirected,14352,,1.0
剂量,酸中毒,Undirected,12128,,1.0
剂量,亚甲基,Undirected,12517,,1.0
剂量,多酚类,Undirected,14388,,1.0
剂量,米非司酮,Undirected,13708,,1.0
剂量,湿度比,Undirected,13712,,1.0
剂量,过敏毒素,Undirected,14287,,1.0
电子,乙醇,Undirected,11675,,1.0
电子,燃料,Undirected,13937,,2.0
电子,电池,Undirected,11796,,2.0
