id,label,timeset,weighted degree
DNA,DNA,,126.0
剂量,剂量,,126.0
乙醇,乙醇,,68.0
葡萄糖,葡萄糖,,28.0
氧化,氧化,,39.0
激素,激素,,92.0
氧,氧,,37.0
燃烧,燃烧,,75.0
热量,热量,,101.0
含量,含量,,256.0
脂肪,脂肪,,113.0
雌激素,雌激素,,36.0
营养,营养,,143.0
糖,糖,,73.0
能量,能量,,221.0
营养物质,营养物质,,40.0
蛋白质,蛋白质,,164.0
纳米,纳米,,43.0
晶体,晶体,,27.0
铁,铁,,44.0
原子,原子,,64.0
波长,波长,,34.0
玻璃,玻璃,,76.0
化学,化学,,123.0
太阳能,太阳能,,53.0
发酵,发酵,,35.0
盐,盐,,46.0
加热,加热,,88.0
溶液,溶液,,50.0
过滤,过滤,,35.0
水,水,,291.0
分子,分子,,159.0
成分,成分,,159.0
氢,氢,,31.0
燃料,燃料,,85.0
化学反应,化学反应,,34.0
海水,海水,,79.0
二氧化碳,二氧化碳,,82.0
粒子,粒子,,79.0
合成,合成,,110.0
天然,天然,,107.0
矿物质,矿物质,,45.0
酸,酸,,28.0
维生素,维生素,,61.0
氧气,氧气,,72.0
酸性,酸性,,30.0
气体,气体,,99.0
干燥,干燥,,83.0
电子,电子,,106.0
金,金,,79.0
石油,石油,,33.0
化学物质,化学物质,,78.0
分解,分解,,116.0
电池,电池,,81.0
碳,碳,,85.0
氨基酸,氨基酸,,49.0
能源,能源,,76.0
塑料,塑料,,86.0
液体,液体,,87.0
富集,富集,,28.0
爱因斯坦,爱因斯坦,,47.0
核能,核能,,33.0
水分,水分,,96.0
色素,色素,,35.0
钙,钙,,43.0
油脂,油脂,,40.0
酶,酶,,63.0
中子,中子,,28.0
原子核,原子核,,27.0
抗生素,抗生素,,36.0
脱水,脱水,,26.0
氢气,氢气,,41.0
硅,硅,,27.0
放射性,放射性,,68.0
X射线,X射线,,30.0
温室气体,温室气体,,27.0
铀,铀,,26.0
液态,液态,,28.0
相互作用,相互作用,,36.0
腐蚀,腐蚀,,32.0
裂变,裂变,,26.0
碘,碘,,37.0
熔化,熔化,,32.0
核反应堆,核反应堆,,39.0
核燃料,核燃料,,28.0
辐射剂量,辐射剂量,,28.0
