id,label,timeset,weighted degree
合成,合成,,54.0
粒子,粒子,,60.0
电子,电子,,66.0
原子,原子,,40.0
动力学,动力学,,21.0
固体,固体,,18.0
爱因斯坦,爱因斯坦,,32.0
暗物质,暗物质,,20.0
能量,能量,,123.0
相互作用,相互作用,,34.0
量子,量子,,29.0
剂量,剂量,,40.0
胆固醇,胆固醇,,17.0
营养,营养,,78.0
乙醇,乙醇,,28.0
DNA,DNA,,76.0
燃烧,燃烧,,30.0
水,水,,112.0
加热,加热,,43.0
化学,化学,,92.0
纳米,纳米,,36.0
蛋白质,蛋白质,,70.0
分子,分子,,118.0
液体,液体,,39.0
热量,热量,,46.0
金,金,,38.0
化学物质,化学物质,,33.0
微米,微米,,18.0
葡萄糖,葡萄糖,,18.0
淀粉,淀粉,,25.0
含量,含量,,116.0
脂肪,脂肪,,50.0
营养物质,营养物质,,16.0
维生素,维生素,,20.0
天然,天然,,70.0
能源,能源,,30.0
大气污染,大气污染,,16.0
太阳能,太阳能,,20.0
盐,盐,,27.0
燃料,燃料,,22.0
副产物,副产物,,20.0
油脂,油脂,,20.0
溶液,溶液,,16.0
色素,色素,,15.0
矿物,矿物,,17.0
化学反应,化学反应,,18.0
分解,分解,,54.0
RNA,RNA,,23.0
红外,红外,,16.0
成分,成分,,91.0
酶,酶,,36.0
干燥,干燥,,39.0
塑料,塑料,,29.0
质子,质子,,18.0
原子核,原子核,,16.0
光合作用,光合作用,,18.0
胰岛素,胰岛素,,19.0
氧气,氧气,,37.0
降解,降解,,18.0
抗生素,抗生素,,24.0
过滤,过滤,,16.0
液态,液态,,16.0
晶体,晶体,,17.0
二氧化碳,二氧化碳,,38.0
碳,碳,,32.0
气体,气体,,53.0
波长,波长,,24.0
精度,精度,,17.0
水分,水分,,29.0
氧化,氧化,,26.0
氢,氢,,17.0
纤维素,纤维素,,16.0
转录,转录,,17.0
背景辐射,背景辐射,,16.0
激素,激素,,34.0
氨基酸,氨基酸,,18.0
电池,电池,,20.0
糖,糖,,34.0
玻璃,玻璃,,27.0
挥发性,挥发性,,16.0
钙,钙,,22.0
铁,铁,,22.0
氧,氧,,15.0
石油,石油,,17.0
发酵,发酵,,17.0
海水,海水,,15.0
有机物,有机物,,17.0
