Source,Target,Type,Id,Label,Weight
焊接,冶炼,Undirected,41896,,1.0
焊接,分解,Undirected,44101,,2.0
焊接,能量,Undirected,42894,,1.0
焊接,挥发,Undirected,44140,,2.0
焊接,变压器,Undirected,41404,,4.0
焊接,仪器仪表,Undirected,43971,,3.0
焊接,食用油,Undirected,42202,,3.0
焊接,浸润,Undirected,44604,,2.0
焊接,激光,Undirected,42376,,3.0
焊接,苎麻,Undirected,41594,,1.0
焊接,氧气,Undirected,43840,,3.0
焊接,硫酸,Undirected,43108,,3.0
焊接,肌瘤,Undirected,44445,,2.0
焊接,红玉,Undirected,43872,,3.0
光电,功能材料,Undirected,41661,,7.0
光电,页岩,Undirected,42652,,2.0
光电,石膏,Undirected,42736,,1.0
光电,碳,Undirected,43256,,1.0
光电,钢铁,Undirected,42541,,1.0
光电,总产量,Undirected,42733,,3.0
光电,铝合金,Undirected,41304,,1.0
光电,化工厂,Undirected,44115,,2.0
光电,微生物,Undirected,44080,,2.0
光电,气体,Undirected,44048,,2.0
光电,有效性,Undirected,44523,,2.0
光电,铁矿石,Undirected,43834,,3.0
光电,蓝宝石,Undirected,42961,,6.0
光电,半导体,Undirected,42531,,2.0
光电,再生资源,Undirected,43176,,3.0
光电,不锈钢,Undirected,44225,,2.0
光电,光缆,Undirected,43656,,6.0
光电,活性物质,Undirected,42328,,1.0
光电,盐卤,Undirected,44170,,2.0
光电,网状,Undirected,44389,,2.0
功能材料,水污染,Undirected,41218,,1.0
功能材料,量子,Undirected,42512,,1.0
功能材料,蓝宝石,Undirected,41716,,4.0
功能材料,半导体,Undirected,44603,,2.0
功能材料,回流,Undirected,43047,,3.0
水污染,钨,Undirected,43664,,3.0
水污染,脱硝,Undirected,43271,,3.0
水污染,铝,Undirected,41302,,1.0
水污染,二氧化硫,Undirected,41825,,1.0
水污染,煤,Undirected,43548,,1.0
水污染,二氧化碳,Undirected,43385,,3.0
水污染,废水,Undirected,42455,,4.0
锂,锌,Undirected,41219,,4.0
锂,硅,Undirected,43448,,3.0
锂,柴油,Undirected,42556,,1.0
锂,铝土矿,Undirected,41503,,4.0
锂,稀有金属,Undirected,42296,,1.0
锂,铅酸,Undirected,43213,,1.0
锌,锰,Undirected,43766,,3.0
锌,铁,Undirected,43566,,1.0
锌,铜,Undirected,44822,,2.0
锌,金,Undirected,42798,,3.0
锌,天然气,Undirected,41313,,6.0
锌,碳,Undirected,42118,,3.0
锌,钢铁,Undirected,41430,,5.0
锌,钙,Undirected,44119,,2.0
锌,稀土,Undirected,44406,,2.0
锌,电石,Undirected,43793,,3.0
锌,侵染,Undirected,43819,,3.0
锌,酸性,Undirected,42966,,1.0
锌,碳酸钡矿,Undirected,42370,,1.0
锌,正交,Undirected,43482,,3.0
氟,锶,Undirected,41220,,6.0
氟,叶酸,Undirected,41827,,1.0
氟,气流,Undirected,42724,,3.0
氟,高密度脂蛋白,Undirected,43516,,3.0
锶,命名,Undirected,41381,,1.0
锶,冶炼,Undirected,43177,,3.0
锶,太阳能,Undirected,42495,,1.0
锶,铁矿石,Undirected,44114,,2.0
锶,微粒,Undirected,43757,,3.0
锶,放射性,Undirected,42450,,1.0
聚合,聚氯乙烯,Undirected,41695,,4.0
聚合,微生物,Undirected,41992,,4.0
聚合,有效性,Undirected,43238,,3.0
聚合,风能,Undirected,44473,,2.0
聚合,醇,Undirected,42500,,1.0
聚合,精炼,Undirected,43530,,1.0
聚合,周期律,Undirected,43004,,3.0
聚合,多酚氧化酶,Undirected,44667,,2.0
热电,聚合,Undirected,41222,,4.0
热电,集成电路,Undirected,42391,,3.0
热电,有色金属,Undirected,42994,,1.0
热电,肥料,Undirected,42143,,2.0
热电,铝,Undirected,42483,,1.0
热电,二氧化硫,Undirected,42150,,3.0
热电,油气,Undirected,42528,,1.0
热电,厌氧消化,Undirected,42595,,4.0
热电,中间体,Undirected,43835,,3.0
热电,贫煤,Undirected,44583,,2.0
煤化工,干法,Undirected,41223,,4.0
煤化工,石灰石,Undirected,41655,,4.0
煤化工,天然气,Undirected,43162,,6.0
煤化工,煤化,Undirected,42168,,3.0
煤化工,铝,Undirected,42915,,3.0
煤化工,二氧化碳,Undirected,42486,,1.0
干法,石灰石,Undirected,42114,,3.0
干法,脱硝,Undirected,41921,,4.0
干法,陶瓷,Undirected,43738,,3.0
干法,淀粉,Undirected,41972,,4.0
干法,脱硫,Undirected,42677,,3.0
干法,弹簧秤,Undirected,41947,,1.0
锰,集成电路,Undirected,42762,,3.0
锰,页岩,Undirected,41423,,5.0
锰,铅,Undirected,42369,,1.0
锰,富集,Undirected,41488,,4.0
锰,碳,Undirected,42619,,1.0
锰,陶瓷,Undirected,44424,,2.0
锰,废水,Undirected,43815,,3.0
锰,耗氧量,Undirected,44368,,2.0
锰,代森锰,Undirected,43818,,3.0
锰,可湿性,Undirected,41607,,1.0
锰,钴,Undirected,41699,,4.0
锰,钡,Undirected,41998,,7.0
锰,环境容量,Undirected,44078,,2.0
锰,锶盐,Undirected,44512,,2.0
硅,电池,Undirected,41233,,11.0
硅,锰,Undirected,41226,,4.0
硅,铅,Undirected,41879,,4.0
硅,矿石,Undirected,42708,,1.0
硅,塑料,Undirected,43956,,3.0
硅,维尼纶,Undirected,42350,,3.0
硅,烧碱,Undirected,44812,,2.0
硅,能级,Undirected,44004,,2.0
硅,制备,Undirected,43023,,3.0
硅,氟烷,Undirected,42719,,3.0
砝码,锶,Undirected,44416,,2.0
砝码,重叠,Undirected,41224,,4.0
砝码,保健食品,Undirected,43086,,1.0
砝码,升华,Undirected,43699,,3.0
砝码,沉淀,Undirected,42700,,1.0
砝码,透析,Undirected,44016,,2.0
砝码,重金属,Undirected,42300,,3.0
重叠,钢铁,Undirected,41780,,1.0
重叠,油气,Undirected,44673,,2.0
重叠,敌百虫,Undirected,43122,,1.0
镁,铁,Undirected,41225,,4.0
镁,铜,Undirected,43044,,3.0
镁,铅,Undirected,42331,,1.0
镁,富集,Undirected,42103,,4.0
镁,天然气,Undirected,43721,,4.0
镁,液体,Undirected,42053,,1.0
镁,发酵,Undirected,41742,,1.0
镁,氧化铝,Undirected,43181,,1.0
镁,生物技术,Undirected,44088,,2.0
镁,铝土矿,Undirected,42878,,8.0
镁,空气污染指数,Undirected,41571,,4.0
镁,稀土,Undirected,43772,,3.0
镁,金属材料,Undirected,41893,,1.0
镁,微克,Undirected,44179,,2.0
镁,钡,Undirected,43447,,3.0
镁,微量营养,Undirected,43565,,1.0
铁,含量,Undirected,43443,,3.0
铁,聚合,Undirected,44430,,2.0
铁,硅,Undirected,44357,,2.0
铁,砝码,Undirected,41558,,5.0
铁,页岩,Undirected,41409,,4.0
铁,铅,Undirected,41514,,12.0
铁,富集,Undirected,41502,,4.0
铁,海水,Undirected,41869,,5.0
铁,碳,Undirected,44394,,2.0
铁,温度,Undirected,43392,,1.0
铁,钢铁,Undirected,42816,,1.0
铁,铂,Undirected,42796,,3.0
铁,铝,Undirected,44722,,2.0
铁,能量,Undirected,41897,,1.0
铁,硫,Undirected,41633,,1.0
铁,红外,Undirected,41298,,4.0
铁,二氧化碳,Undirected,42166,,3.0
铁,微量元素,Undirected,42740,,5.0
铁,铁矿石,Undirected,42963,,8.0
铁,铝土矿,Undirected,41563,,4.0
铁,周期性,Undirected,44073,,2.0
铁,磁场,Undirected,41912,,5.0
铁,线型,Undirected,42158,,3.0
集成电路,复合型,Undirected,44021,,2.0
