Id,Label,度
抗体,抗体,15
有效性,有效性,22
苎麻,苎麻,9
肥料,肥料,31
原油,原油,24
边界条件,边界条件,3
环境容量,环境容量,8
化学需氧量,化学需氧量,21
高锰酸盐,高锰酸盐,3
溶解氧,溶解氧,1
塑料,塑料,36
干燥,干燥,24
气味,气味,24
心电图,心电图,3
发酵,发酵,54
煤,煤,67
电子学,电子学,3
仪器仪表,仪器仪表,36
废水,废水,38
废渣,废渣,21
天然气,天然气,123
镭,镭,5
化学工业,化学工业,11
减震器,减震器,13
搅拌,搅拌,10
空气干燥,空气干燥,2
沉淀,沉淀,38
温度,温度,79
微生物,微生物,34
大理石,大理石,12
风能,风能,21
光电,光电,29
复合材料,复合材料,30
磁场,磁场,11
铝,铝,60
焊接,焊接,21
太阳能,太阳能,64
浸润,浸润,19
化工厂,化工厂,34
联苯,联苯,2
溶液,溶液,13
电池,电池,49
保健食品,保健食品,14
白糖,白糖,14
食用油,食用油,33
脆裂,脆裂,1
粉尘,粉尘,21
页岩,页岩,27
砂岩,砂岩,10
水污染,水污染,22
柴油,柴油,28
碱性,碱性,13
放射性,放射性,13
标定,标定,3
二氧化硫,二氧化硫,44
磁铁矿,磁铁矿,4
铁矿石,铁矿石,18
硅,硅,30
盐,盐,40
集成电路,集成电路,22
半导体,半导体,16
消毒,消毒,26
洗涤,洗涤,10
中间体,中间体,5
自燃,自燃,7
燃烧,燃烧,67
气体,气体,56
一氧化碳,一氧化碳,16
铜,铜,28
银,银,25
有色金属,有色金属,33
轻合金,轻合金,8
杂质,杂质,11
碳酸镁,碳酸镁,5
含量,含量,107
分解,分解,42
电焊,电焊,11
五烯酸,五烯酸,1
鱼油,鱼油,1
水分,水分,18
液化天然气,液化天然气,6
金属材料,金属材料,19
精度,精度,15
焚烧,焚烧,27
回流,回流,17
亚硝酸盐,亚硝酸盐,3
润滑油,润滑油,11
钢铁,钢铁,88
锶,锶,12
弱碱性,弱碱性,5
硫酸,硫酸,9
氟,氟,11
降解,降解,13
润湿,润湿,2
淀粉,淀粉,22
提纯,提纯,8
碳,碳,100
葡萄酒,葡萄酒,40
甘醇,甘醇,1
离子膜,离子膜,5
复合型,复合型,24
球阀,球阀,1
精炼,精炼,9
氮,氮,5
磷,磷,20
拼合,拼合,2
微米,微米,6
油气,油气,21
铁,铁,49
类金属,类金属,3
减量化,减量化,11
液态,液态,17
贵金属,贵金属,7
富集,富集,25
功能材料,功能材料,16
光电子,光电子,8
蜡烛,蜡烛,13
腐蚀性,腐蚀性,11
鼻咽癌,鼻咽癌,1
激光,激光,19
粒子,粒子,14
沼气,沼气,35
二氧化碳,二氧化碳,76
再生利用,再生利用,11
再生资源,再生资源,19
海水,海水,18
火山灰,火山灰,12
碳环,碳环,26
抗生素,抗生素,25
煤粉,煤粉,3
临界点,临界点,2
显微镜,显微镜,6
核苷酸,核苷酸,2
支原体,支原体,1
合成,合成,33
