Source,Target,Type,Id,Label,Weight
碳氟化合物,机理,Undirected,44377,,3.0
机理,液体,Undirected,45862,,4.0
机理,粘度,Undirected,45048,,1.0
机理,去分化,Undirected,48084,,1.0
机理,醋,Undirected,46536,,3.0
机理,激光,Undirected,47170,,1.0
机理,碳,Undirected,47697,,2.0
机理,脂质,Undirected,45672,,2.0
机理,摩尔,Undirected,45145,,1.0
机理,抗生素,Undirected,47717,,2.0
机理,干燥,Undirected,47023,,2.0
机理,燃烧,Undirected,47083,,1.0
机理,铁,Undirected,45897,,3.0
机理,单糖,Undirected,44596,,2.0
机理,变性,Undirected,44808,,3.0
机理,酸度,Undirected,47596,,1.0
机理,保健食品,Undirected,45502,,1.0
机理,草甘膦,Undirected,46144,,2.0
机理,透气性,Undirected,46172,,1.0
机理,氧化锆,Undirected,46749,,2.0
概率,惰性气体,Undirected,44378,,2.0
概率,介质,Undirected,45771,,1.0
概率,反粒子,Undirected,46819,,1.0
概率,精度,Undirected,47449,,2.0
概率,原子,Undirected,46960,,1.0
概率,粒子,Undirected,46012,,2.0
概率,腐胺,Undirected,44413,,1.0
概率,发酵,Undirected,45694,,1.0
概率,线粒体,Undirected,47785,,1.0
概率,微生物,Undirected,45328,,1.0
概率,化学渗透理论,Undirected,44437,,2.0
概率,分解,Undirected,47592,,1.0
概率,量子力学,Undirected,44782,,4.0
概率,基础体温,Undirected,47326,,1.0
概率,抗生素,Undirected,47586,,1.0
概率,钙,Undirected,44512,,1.0
概率,聚合,Undirected,44518,,2.0
概率,灵敏度,Undirected,47770,,1.0
概率,燃烧,Undirected,46284,,1.0
概率,氧,Undirected,45644,,2.0
概率,熔化,Undirected,47110,,1.0
概率,有效性,Undirected,46545,,1.0
概率,精炼,Undirected,46546,,1.0
概率,等价,Undirected,46416,,2.0
概率,中枢神经系统,Undirected,46817,,1.0
概率,米非司酮,Undirected,45744,,2.0
概率,可卡因,Undirected,45853,,2.0
概率,转移酶,Undirected,44804,,2.0
概率,甘蔗,Undirected,45546,,2.0
概率,玄武岩,Undirected,45065,,2.0
概率,临界值,Undirected,45238,,2.0
概率,洗涤,Undirected,46623,,2.0
概率,重叠,Undirected,45359,,1.0
概率,碳酸氢钠,Undirected,47323,,1.0
概率,特异性,Undirected,45790,,1.0
概率,标准偏差,Undirected,46143,,2.0
惰性气体,介质,Undirected,48616,,1.0
惰性气体,含量,Undirected,46346,,2.0
惰性气体,头孢霉素,Undirected,48698,,1.0
溶解度,机理,Undirected,44418,,2.0
溶解度,液体,Undirected,44379,,5.0
