Source,Target,Type,Id,Label,Weight
太阳能,粘土矿物,Undirected,20833,,1.0
太阳能,风能,Undirected,20899,,5.0
太阳能,一氧化碳,Undirected,20950,,1.0
安慰剂,抗生素,Undirected,20695,,2.0
安慰剂,模型研究,Undirected,21027,,1.0
抗生素,钴,Undirected,20932,,1.0
氙,放射性同位素,Undirected,20696,,2.0
放射性同位素,钚,Undirected,21016,,1.0
放射性同位素,糖精,Undirected,20905,,1.0
等价,流明,Undirected,20697,,2.0
塑料,分解,Undirected,20738,,2.0
塑料,晶体管,Undirected,20698,,2.0
塑料,二氧化碳,Undirected,20839,,1.0
塑料,分子链,Undirected,20964,,1.0
塑料,铀,Undirected,20821,,2.0
塑料,固体,Undirected,21055,,1.0
晶体管,烯,Undirected,20717,,2.0
晶体管,棉纤维,Undirected,20792,,1.0
晶体管,栅极,Undirected,21050,,1.0
量子力学,放射性,Undirected,20925,,1.0
量子力学,原子,Undirected,20757,,1.0
正电荷,负电荷,Undirected,20700,,2.0
组分,微克,Undirected,20701,,2.0
组分,PM2.5,Undirected,20727,,1.0
PM2.5,微米,Undirected,20702,,3.0
PM2.5,含量,Undirected,20959,,1.0
微米,半导体,Undirected,20871,,2.0
微米,二氧化硅,Undirected,20926,,1.0
拉曼光谱,显微镜,Undirected,20703,,2.0
化学组成,丙硫氧嘧啶,Undirected,20704,,2.0
化学组成,火花光谱,Undirected,20867,,2.0
软骨素,化学组成,Undirected,20705,,2.0
饱和度,海绵,Undirected,20706,,2.0
疏水,墨水,Undirected,20707,,2.0
核力,能量,Undirected,20708,,2.0
甲烷,气体,Undirected,20710,,2.0
甲烷,碳氢化合物,Undirected,20906,,1.0
气体,原子质量,Undirected,21031,,1.0
浓缩铀,电池,Undirected,20711,,2.0
电池,精度,Undirected,20803,,1.0
电池,太阳能,Undirected,21017,,3.0
电池,氧气,Undirected,20722,,1.0
电池,煤,Undirected,20830,,1.0
电池,硅酸盐,Undirected,20834,,1.0
电池,阴极,Undirected,20898,,2.0
半导体,太阳能,Undirected,20712,,2.0
氧气,粒子,Undirected,20953,,1.0
氧气,氧,Undirected,20739,,2.0
氧气,摩尔,Undirected,20713,,2.0
氧气,空气电池,Undirected,20955,,1.0
氧气,羟基,Undirected,20913,,2.0
纳米,原子,Undirected,21004,,2.0
纳米,精度,Undirected,20956,,1.0
纳米,晶体管,Undirected,20806,,1.0
纳米,疏水,Undirected,20714,,2.0
纳米,铈,Undirected,20980,,1.0
纳米,液体,Undirected,20796,,1.0
纳米,活性炭,Undirected,20881,,2.0
核反应堆,煤,Undirected,20816,,2.0
核反应堆,水冷却,Undirected,20941,,1.0
烯,陶瓷,Undirected,20764,,2.0
神经元,量子,Undirected,21022,,1.0
烧瓶,显微镜,Undirected,20719,,1.0
含量,稀土,Undirected,20995,,1.0
含量,放射性,Undirected,20720,,1.0
含量,电池,Undirected,21015,,1.0
含量,汞,Undirected,20723,,1.0
含量,颗粒,Undirected,20728,,1.0
含量,贵金属,Undirected,20735,,2.0
微粒,氧气,Undirected,20721,,1.0
维生素,氧气,Undirected,20795,,1.0
转录,光合作用,Undirected,20726,,1.0
光合作用,糖,Undirected,20958,,1.0
颗粒,微克,Undirected,20960,,1.0
颗粒,灵敏度,Undirected,20887,,1.0
磁铁,电子自旋,Undirected,20729,,1.0
磁铁,再循环,Undirected,21024,,1.0
电子自旋,自旋,Undirected,20961,,1.0
自旋,神经元,Undirected,20730,,1.0
磁场,粒子,Undirected,20733,,4.0
磁场,神经元,Undirected,20767,,1.0
磁场,细胞膜,Undirected,20886,,1.0
体积,铂,Undirected,20734,,2.0
体积,气态,Undirected,20880,,2.0
铂,稀有金属,Undirected,20778,,1.0
铂,酸侵蚀,Undirected,20900,,2.0
咖啡因,化学成分,Undirected,20736,,2.0
游离,红外,Undirected,20737,,2.0
干燥,气体,Undirected,20740,,2.0
甲基,焦糖,Undirected,20741,,2.0
二氧化碳,能量,Undirected,20766,,1.0
二氧化碳,气溶胶,Undirected,21045,,1.0
二氧化碳,碳,Undirected,21019,,1.0
二氧化碳,废水,Undirected,21040,,1.0
二氧化碳,加热,Undirected,20862,,2.0
二氧化碳,PM2.5,Undirected,21001,,1.0
二氧化碳,气体,Undirected,20800,,3.0
二氧化碳,温度,Undirected,20768,,1.0
神经肽,酒精,Undirected,20743,,3.0
能量变化,量子力学,Undirected,20962,,1.0
离子浓度,氧气,Undirected,20745,,1.0
钛,岩浆,Undirected,20746,,1.0
钛,二氧化钛,Undirected,20759,,1.0
岩浆,地球化学,Undirected,20963,,1.0
分子链,温度,Undirected,20747,,1.0
温度,加热,Undirected,21059,,1.0
最外层,动力学,Undirected,20748,,1.0
动力学,气体,Undirected,20965,,1.0
合金,铜,Undirected,20750,,1.0
稀土金属,电池,Undirected,20775,,2.0
不锈钢,镍,Undirected,20752,,1.0
镍,铜,Undirected,20969,,1.0
分子,氧化,Undirected,20927,,1.0
分子,钠,Undirected,20933,,1.0
分子,钠离子,Undirected,20938,,1.0
分子,衍生物,Undirected,20753,,1.0
分子,室温,Undirected,20858,,1.0
分子,气味,Undirected,20807,,1.0
分子,爆炸物,Undirected,20818,,2.0
分子,热力学,Undirected,20851,,2.0
分子,化学键,Undirected,20902,,2.0
衍生物,原子质量,Undirected,20970,,1.0
原子质量,原子,Undirected,20754,,1.0
原子质量,温度,Undirected,20828,,1.0
酞菁染料,量子,Undirected,20755,,1.0
普朗克,量子,Undirected,20756,,1.0
介子,粒子,Undirected,21007,,1.0
介子,低能中子,Undirected,20758,,1.0
计算机模拟,原子核,Undirected,20761,,1.0
化工原料,铝,Undirected,20762,,1.0
丁二炔,导电性,Undirected,20763,,2.0
化学反应,室温,Undirected,20765,,1.0
化学反应,矿物,Undirected,21034,,1.0
室温,微波激射器,Undirected,21047,,1.0
正电子,狄拉克,Undirected,20975,,1.0
狄拉克,反粒子,Undirected,20770,,1.0
反粒子,狄拉克方程,Undirected,20976,,1.0
狄拉克方程,量子,Undirected,20771,,1.0
剪应力,工程塑料,Undirected,20772,,1.0
工程塑料,淀粉,Undirected,20978,,1.0
淀粉,水煤浆,Undirected,20773,,1.0
水煤浆,陶瓷,Undirected,20979,,1.0
铈,稀土,Undirected,20774,,1.0
过滤,精度,Undirected,20815,,2.0
过滤,光缆,Undirected,20776,,1.0
基本粒子,分解,Undirected,20777,,1.0
稀有金属,锇,Undirected,20983,,1.0
锇,钌,Undirected,20779,,1.0
钌,钯,Undirected,20984,,1.0
钯,铑,Undirected,20780,,1.0
热含量,气体,Undirected,20781,,1.0
青铜,白金,Undirected,20782,,1.0
光电,电池,Undirected,20784,,1.0
氰化物,溶液,Undirected,20785,,1.0
溶液,液体,Undirected,20999,,1.0
溶液,分光镜,Undirected,20882,,2.0
溶液,激素,Undirected,20986,,1.0
抗体,脂肪,Undirected,20786,,1.0
抗体,蛋白,Undirected,20812,,1.0
水分,能量,Undirected,20787,,1.0
脂肪酸,酶,Undirected,20990,,1.0
硅,氧,Undirected,20789,,1.0
硅,纳米,Undirected,20891,,1.0
胶质,萃取物,Undirected,20791,,1.0
棉纤维,电化学,Undirected,20998,,1.0
化学家,溶液,Undirected,20794,,1.0
液体,蜂毒,Undirected,20908,,1.0
液体,疏水性,Undirected,21002,,1.0
无机材料,纳米,Undirected,20797,,1.0
