Source,Target,Type,id,label,timeset,weight
空气质量,PM2.5,Undirected,671,,,1.0
电子,能源,Undirected,672,,,1.0
石油,半导体,Undirected,673,,,1.0
氢气,氧气,Undirected,674,,,1.0
纳米,微米,Undirected,675,,,2.0
纳米,粒子,Undirected,677,,,1.0
蛋白质,天然,Undirected,679,,,2.0
水泥,碳,Undirected,683,,,3.0
燃料,灵敏度,Undirected,685,,,1.0
太阳能,电池,Undirected,687,,,8.0
粒子,反粒子,Undirected,688,,,2.0
大气污染,电子,Undirected,691,,,1.0
大气污染,空气质量,Undirected,696,,,4.0
粒子,电池,Undirected,700,,,1.0
夸克,质子,Undirected,709,,,3.0
粒子,量子力学,Undirected,714,,,2.0
能量,燃料,Undirected,716,,,1.0
氢,核聚变,Undirected,717,,,1.0
过滤,粒子,Undirected,718,,,1.0
PM2.5,DNA,Undirected,719,,,1.0
碳,氢,Undirected,721,,,1.0
太阳能,放射性,Undirected,727,,,1.0
氢,液态,Undirected,730,,,1.0
大气污染,能源,Undirected,734,,,2.0
大气污染,钢铁,Undirected,735,,,1.0
二氧化碳,温室气体,Undirected,741,,,7.0
气体,化学,Undirected,746,,,1.0
化学物质,聚合物,Undirected,748,,,1.0
光谱,微米,Undirected,749,,,1.0
大气污染,PM2.5,Undirected,750,,,5.0
成分,中子,Undirected,753,,,1.0
氢,含量,Undirected,763,,,1.0
含量,蛋白质,Undirected,765,,,1.0
背景辐射,极化,Undirected,766,,,5.0
能量,电子,Undirected,767,,,2.0
合成,天然,Undirected,773,,,2.0
同位素,天然,Undirected,783,,,1.0
合成,脂肪,Undirected,788,,,1.0
能源,化石燃料,Undirected,790,,,2.0
太阳能,钢铁,Undirected,792,,,1.0
塑料,聚合物,Undirected,793,,,1.0
红外,大气污染,Undirected,796,,,1.0
粒子,中微子,Undirected,799,,,2.0
反粒子,同位素,Undirected,800,,,1.0
干燥,水,Undirected,806,,,1.0
粒子,相互作用,Undirected,808,,,1.0
晶体,能量,Undirected,815,,,1.0
蛋白质,量子,Undirected,816,,,1.0
RNA,DNA,Undirected,818,,,2.0
天然气,石油,Undirected,821,,,4.0
水,太阳能,Undirected,826,,,2.0
燃烧,碳,Undirected,839,,,1.0
红外,灵敏度,Undirected,861,,,1.0
爱因斯坦,背景辐射,Undirected,863,,,1.0
燃烧,钢铁,Undirected,870,,,1.0
化学,热量,Undirected,877,,,1.0
热量,燃烧,Undirected,880,,,2.0
大气污染,过滤,Undirected,884,,,1.0
液态,加热,Undirected,885,,,1.0
太阳能,液态,Undirected,887,,,1.0
分子,粒子,Undirected,892,,,2.0
能源,量子力学,Undirected,893,,,1.0
纳米,成分,Undirected,895,,,1.0
过滤,乙醇,Undirected,902,,,1.0
尼古丁,电子,Undirected,903,,,1.0
金,燃料,Undirected,904,,,1.0
水泥,钢铁,Undirected,909,,,2.0
氧气,液态,Undirected,910,,,1.0
PM2.5,微米,Undirected,911,,,1.0
钻石,热量,Undirected,912,,,1.0
水,化学,Undirected,913,,,3.0
量子力学,量子,Undirected,915,,,3.0
太阳能,碳,Undirected,918,,,1.0
砷,重金属,Undirected,922,,,1.0
葡萄糖,磁铁,Undirected,932,,,1.0
电池,固态,Undirected,933,,,1.0
热量,脂肪,Undirected,937,,,1.0
燃料,气体,Undirected,941,,,1.0
氢气,碳,Undirected,942,,,1.0
夸克,粒子,Undirected,948,,,1.0
大气污染,热量,Undirected,954,,,1.0
纳米,双螺旋,Undirected,955,,,1.0
DNA,蛋白质,Undirected,956,,,1.0
铅,砷,Undirected,957,,,1.0
温室气体,乙醇,Undirected,961,,,1.0
塑料,玻璃,Undirected,962,,,1.0
分子,能量,Undirected,963,,,2.0
加热,纳米,Undirected,966,,,1.0
聚合物,微米,Undirected,967,,,1.0
干燥,DNA,Undirected,968,,,1.0
分子,纳米,Undirected,969,,,1.0
晶体,电池,Undirected,970,,,1.0
分子,化学物质,Undirected,973,,,1.0
DNA,脂肪,Undirected,974,,,1.0
含量,砷,Undirected,978,,,1.0
能量,粒子,Undirected,980,,,2.0
水,液体,Undirected,984,,,1.0
水,砷,Undirected,987,,,1.0
尼古丁,液体,Undirected,989,,,1.0
电子,加热,Undirected,990,,,1.0
海水,能源,Undirected,992,,,1.0
过滤,电池,Undirected,995,,,1.0
碳,二氧化碳,Undirected,996,,,3.0
磁铁,稀土,Undirected,1002,,,2.0
二氧化碳,氧气,Undirected,1006,,,2.0
气体,液体,Undirected,1007,,,1.0
能量,精度,Undirected,1009,,,1.0
量子,中子,Undirected,1011,,,1.0
爱因斯坦,量子力学,Undirected,1014,,,1.0
气溶胶,气体,Undirected,1018,,,1.0
大气污染,水,Undirected,1019,,,1.0
化学,纳米,Undirected,1026,,,1.0
反粒子,电子,Undirected,1030,,,1.0
半导体,量子,Undirected,1039,,,1.0
能源,化学,Undirected,1042,,,1.0
