Source,Target,Type,id,label,timeset,weight
粒子,量子,Undirected,107463,,,4.0
太阳能,红外,Undirected,107467,,,1.0
能量,电池,Undirected,107470,,,3.0
太阳能,能源,Undirected,107473,,,3.0
营养,脂肪,Undirected,107475,,,1.0
量子力学,放射性,Undirected,107480,,,1.0
同位素,氧,Undirected,107482,,,1.0
暗物质,玻璃,Undirected,107486,,,1.0
核能,能量,Undirected,107487,,,1.0
爱因斯坦,中微子,Undirected,107498,,,3.0
能量,能级,Undirected,107500,,,2.0
粒子,质子,Undirected,107501,,,2.0
分子,粒子,Undirected,107502,,,1.0
乙醇,分解,Undirected,107505,,,1.0
电子,原子,Undirected,107507,,,1.0
燃料,核反应堆,Undirected,107512,,,2.0
金,铜,Undirected,107513,,,1.0
铁,氢,Undirected,107514,,,1.0
氧,氦,Undirected,107515,,,2.0
碳,锂,Undirected,107518,,,1.0
二氧化碳,过滤,Undirected,107520,,,1.0
燃料电池,碳,Undirected,107522,,,1.0
过滤,电子,Undirected,107525,,,1.0
玻璃,电池,Undirected,107527,,,1.0
塑料,晶体管,Undirected,107530,,,1.0
爱因斯坦,量子力学,Undirected,107531,,,1.0
电子,电池,Undirected,107533,,,1.0
PM2.5,化学,Undirected,107535,,,1.0
天然气,石油,Undirected,107538,,,3.0
分子,化学物质,Undirected,107540,,,1.0
碳,放射性,Undirected,107548,,,1.0
甲烷,温室气体,Undirected,107549,,,1.0
电池,半导体,Undirected,107551,,,1.0
太阳能,核反应堆,Undirected,107555,,,1.0
合成,蛋白质,Undirected,107557,,,1.0
量子力学,量子,Undirected,107559,,,3.0
碳,含量,Undirected,107563,,,1.0
锂,电池,Undirected,107566,,,1.0
太阳能,化学,Undirected,107568,,,1.0
纳米,精度,Undirected,107569,,,1.0
化学物质,含量,Undirected,107570,,,1.0
能量,乙醇,Undirected,107571,,,1.0
碳,温室气体,Undirected,107574,,,3.0
含量,化学,Undirected,107576,,,1.0
太阳能,风能,Undirected,107577,,,2.0
太阳能,电池,Undirected,107578,,,3.0
太阳能,水,Undirected,107580,,,1.0
能量,含量,Undirected,107581,,,1.0
铂,含量,Undirected,107584,,,1.0
粒子,红外,Undirected,107588,,,1.0
塑料,分解,Undirected,107589,,,1.0
氧气,氧,Undirected,107591,,,1.0
氧气,化学,Undirected,107592,,,1.0
能量,粒子,Undirected,107593,,,2.0
色素,含量,Undirected,107595,,,1.0
二氧化碳,太阳能,Undirected,107597,,,1.0
化学能,风能,Undirected,107598,,,1.0
能量,量子力学,Undirected,107601,,,1.0
同位素,钛,Undirected,107603,,,1.0
中微子,粒子,Undirected,107609,,,2.0
稀土,稀土金属,Undirected,107613,,,3.0
金,石油,Undirected,107614,,,1.0
太阳能,燃料,Undirected,107621,,,1.0
电池,化学,Undirected,107622,,,1.0
能量,原子,Undirected,107623,,,1.0
燃料电池,氢,Undirected,107627,,,1.0
聚合物,化学反应,Undirected,107633,,,1.0
化学物质,化学,Undirected,107634,,,1.0
能量,二氧化碳,Undirected,107635,,,1.0
电子,暗物质,Undirected,107638,,,1.0
铁,纳米,Undirected,107644,,,1.0
粒子,电子,Undirected,107649,,,1.0
碱基对,DNA,Undirected,107657,,,2.0
能量,暗物质,Undirected,107661,,,2.0
分子,水,Undirected,107662,,,1.0
氢,硅,Undirected,107671,,,1.0
碳,化学反应,Undirected,107673,,,1.0
含量,稀土,Undirected,107674,,,1.0
粒子,量子力学,Undirected,107676,,,2.0
太阳能,能量,Undirected,107679,,,1.0
DNA,液体,Undirected,107681,,,1.0
石油,二氧化碳,Undirected,107684,,,1.0
燃料,PM2.5,Undirected,107685,,,1.0
水,液体,Undirected,107688,,,2.0
纳米,原子,Undirected,107690,,,1.0
化学物质,电子,Undirected,107694,,,1.0
红外,温室气体,Undirected,107696,,,1.0
电池,精度,Undirected,107703,,,1.0
纳米,晶体管,Undirected,107708,,,1.0
含量,电池,Undirected,107712,,,1.0
能量,红外,Undirected,107713,,,1.0
铀,热量,Undirected,107714,,,1.0
放射性同位素,太阳能,Undirected,107715,,,1.0
纳米,爱因斯坦,Undirected,107718,,,1.0
二氧化碳,营养,Undirected,107720,,,1.0
过滤,精度,Undirected,107724,,,1.0
塑料,玻璃,Undirected,107727,,,1.0
粒子,玻璃,Undirected,107729,,,1.0
DNA,电池,Undirected,107731,,,1.0
分子,金,Undirected,107732,,,1.0
