id,label,timeset,weighted degree
能源,能源,,8.0
蛋白质,蛋白质,,9.0
能量,能量,,29.0
合成,合成,,12.0
燃料,燃料,,12.0
二氧化碳,二氧化碳,,13.0
液体,液体,,7.0
玻璃,玻璃,,9.0
电池,电池,,21.0
纳米,纳米,,11.0
太阳能,太阳能,,22.0
电子,电子,,13.0
粒子,粒子,,28.0
量子,量子,,13.0
核反应堆,核反应堆,,4.0
塑料,塑料,,7.0
石油,石油,,9.0
铀,铀,,3.0
化学,化学,,9.0
脂肪,脂肪,,3.0
过滤,过滤,,4.0
分解,分解,,5.0
爱因斯坦,爱因斯坦,,8.0
红外,红外,,5.0
DNA,DNA,,10.0
半衰期,半衰期,,3.0
糖,糖,,5.0
营养,营养,,4.0
稀土,稀土,,6.0
分子,分子,,14.0
半导体,半导体,,3.0
铝,铝,,3.0
量子力学,量子力学,,9.0
放射性,放射性,,5.0
原子,原子,,6.0
微米,微米,,3.0
水,水,,16.0
同位素,同位素,,3.0
氧,氧,,5.0
暗物质,暗物质,,5.0
核能,核能,,3.0
碳,碳,,14.0
钛,钛,,3.0
中微子,中微子,,8.0
乙醇,乙醇,,7.0
能级,能级,,4.0
质子,质子,,3.0
精度,精度,,4.0
金,金,,9.0
铜,铜,,4.0
铁,铁,,4.0
氢,氢,,5.0
氦,氦,,3.0
锂,锂,,4.0
副产物,副产物,,3.0
燃料电池,燃料电池,,3.0
放射性同位素,放射性同位素,,3.0
晶体管,晶体管,,6.0
PM2.5,PM2.5,,5.0
聚合物,聚合物,,6.0
天然气,天然气,,5.0
色素,色素,,4.0
化学物质,化学物质,,7.0
化学组成,化学组成,,3.0
甲烷,甲烷,,3.0
温室气体,温室气体,,9.0
氧气,氧气,,9.0
含量,含量,,9.0
转录,转录,,3.0
风能,风能,,4.0
铂,铂,,3.0
酶,酶,,4.0
气体,气体,,4.0
化学能,化学能,,3.0
热量,热量,,4.0
稀土金属,稀土金属,,3.0
晶体,晶体,,4.0
化学反应,化学反应,,3.0
碱基对,碱基对,,3.0
溶液,溶液,,3.0
硅,硅,,3.0
