Source,Target,Type,Id,Label,Weight
RNA,蛋白质,Undirected,28751,,1.0
RNA,甲基化,Undirected,28575,,1.0
RNA,结构分析,Undirected,28766,,1.0
鸟嘌呤,尿嘧啶,Undirected,28576,,1.0
维生素,化学物质,Undirected,28577,,1.0
能级,粒子,Undirected,28608,,2.0
质子,粒子,Undirected,28579,,1.0
爱因斯坦,量子,Undirected,28619,,1.0
爱因斯坦,金,Undirected,28586,,1.0
爱因斯坦,原子钟,Undirected,28638,,1.0
金,电池,Undirected,28622,,1.0
金,铜,Undirected,28793,,1.0
燃烧,脂肪,Undirected,28587,,1.0
燃烧,氦,Undirected,28595,,1.0
燃烧,化石燃料,Undirected,28620,,1.0
燃烧,电池,Undirected,28691,,1.0
燃烧,煤油,Undirected,28720,,1.0
臭氧,氟利昂,Undirected,28588,,1.0
热膨胀,纤丝,Undirected,28590,,1.0
化学家,可卡因,Undirected,28592,,1.0
PM2.5,大气污染,Undirected,28664,,1.0
PM2.5,空气质量,Undirected,28594,,1.0
PM2.5,红外,Undirected,28761,,1.0
化肥,氮,Undirected,28597,,1.0
二氧化碳,气体,Undirected,28693,,1.0
二氧化碳,燃烧,Undirected,28624,,1.0
二氧化碳,能源,Undirected,28700,,1.0
二氧化碳,汽油,Undirected,28698,,1.0
植物油,氢化,Undirected,28603,,1.0
电子管,电子,Undirected,28604,,1.0
石油,核能,Undirected,28605,,1.0
石油,碳,Undirected,28634,,1.0
石油,燃烧,Undirected,28731,,1.0
石油,甲烷,Undirected,28643,,1.0
水,脂肪,Undirected,28628,,2.0
水,固态,Undirected,28787,,1.0
水,银,Undirected,28741,,1.0
水,放射性,Undirected,28711,,1.0
氟,钙化,Undirected,28612,,1.0
燃料,电子,Undirected,28712,,1.0
燃料,碳,Undirected,28613,,1.0
燃料,液态,Undirected,28631,,1.0
燃料,水,Undirected,28775,,1.0
燃料,加热,Undirected,28681,,1.0
燃料,机油,Undirected,28702,,1.0
燃料,矿石,Undirected,28737,,1.0
燃料,钚,Undirected,28794,,1.0
镍,含量,Undirected,28615,,1.0
铅,砷,Undirected,28616,,1.0
中微子,电子,Undirected,28722,,1.0
中微子,能量,Undirected,28617,,1.0
化石燃料,太阳能,Undirected,28733,,1.0
钢铁,乙醇,Undirected,28621,,1.0
电池,固态,Undirected,28763,,1.0
电池,铝离子,Undirected,28658,,1.0
电池,丁内酯,Undirected,28798,,1.0
天然气,大气污染,Undirected,28623,,2.0
天然气,石油,Undirected,28671,,1.0
绝对零度,半导体,Undirected,28626,,1.0
椰子油,淀粉,Undirected,28627,,1.0
锡,合金,Undirected,28629,,1.0
溶液,氢气,Undirected,28630,,1.0
氢气,反应器,Undirected,28682,,1.0
草甘膦,二嗪农,Undirected,28633,,1.0
盐,粒子,Undirected,28635,,1.0
磁铁,能级,Undirected,28636,,1.0
精度,原子,Undirected,28639,,1.0
能源,钢铁,Undirected,28730,,1.0
能源,恒温器,Undirected,28640,,1.0
玄武岩,熔岩,Undirected,28641,,1.0
甲烷,氮气,Undirected,28780,,1.0
太阳能,电池,Undirected,28677,,2.0
太阳能,能源,Undirected,28792,,1.0
太阳能,风能,Undirected,28644,,1.0
太阳能,冶炼,Undirected,28676,,1.0
太阳能,海水,Undirected,28749,,1.0
太阳能,溶剂,Undirected,28797,,1.0
强相互作用,暗物质,Undirected,28646,,1.0
营养物质,液体培养基,Undirected,28651,,1.0
甜味剂,阿斯巴甜,Undirected,28653,,1.0
有机肥料,化肥,Undirected,28654,,1.0
阴极,铝,Undirected,28657,,1.0
色素,蛋白质,Undirected,28659,,1.0
循环过程,核能,Undirected,28726,,1.0
循环过程,催产素,Undirected,28660,,1.0
介子,粒子,Undirected,28662,,1.0
介子,标准差,Undirected,28723,,1.0
锝,放射性,Undirected,28668,,1.0
磷酸盐,磷酸化,Undirected,28669,,1.0
胶子,量子,Undirected,28716,,1.0
胶子,能级,Undirected,28670,,1.0
活性氧,蛋白质,Undirected,28672,,1.0
汽油,化石燃料,Undirected,28674,,1.0
沼气,反应器,Undirected,28678,,1.0
气溶胶,太阳辐射,Undirected,28704,,1.0
温室效应,水蒸汽,Undirected,28686,,1.0
冰毒,纯度,Undirected,28687,,1.0
燃料电池,化学反应,Undirected,28688,,1.0
