id,label,timeset,weighted degree
过滤器,过滤器,,4.0
过滤,过滤,,8.0
电子,电子,,21.0
同位素,同位素,,3.0
分子,分子,,17.0
化学反应,化学反应,,5.0
化学,化学,,11.0
电池,电池,,12.0
能量,能量,,20.0
石油,石油,,8.0
柴油,柴油,,4.0
干燥,干燥,,4.0
温室气体,温室气体,,8.0
激素,激素,,3.0
天然,天然,,3.0
DNA,DNA,,16.0
乙醇,乙醇,,5.0
量子,量子,,10.0
硅,硅,,4.0
半导体,半导体,,9.0
纳米,纳米,,11.0
脂肪,脂肪,,8.0
糖,糖,,4.0
大气污染,大气污染,,16.0
铝,铝,,3.0
爱因斯坦,爱因斯坦,,5.0
粒子,粒子,,27.0
胰岛素,胰岛素,,3.0
淀粉,淀粉,,3.0
含量,含量,,10.0
化学物质,化学物质,,4.0
合金,合金,,3.0
塑料,塑料,,5.0
水污染,水污染,,3.0
碳,碳,,11.0
剂量,剂量,,5.0
蛋白质,蛋白质,,9.0
中微子,中微子,,4.0
RNA,RNA,,5.0
玻璃,玻璃,,5.0
核反应堆,核反应堆,,4.0
核能,核能,,4.0
中位数,中位数,,3.0
汽油,汽油,,3.0
海洛因,海洛因,,5.0
合成,合成,,8.0
氧气,氧气,,4.0
能源,能源,,15.0
银,银,,4.0
原子,原子,,4.0
晶体管,晶体管,,5.0
液态,液态,,4.0
介质,介质,,3.0
暗物质,暗物质,,6.0
空气质量,空气质量,,12.0
二氧化碳,二氧化碳,,13.0
可卡因,可卡因,,3.0
铁,铁,,3.0
热量,热量,,3.0
反粒子,反粒子,,3.0
气体,气体,,7.0
能级,能级,,4.0
水,水,,10.0
放射性,放射性,,3.0
精度,精度,,3.0
金,金,,6.0
燃烧,燃烧,,9.0
溶液,溶液,,3.0
臭氧,臭氧,,3.0
化学家,化学家,,3.0
PM2.5,PM2.5,,4.0
氢,氢,,4.0
天然气,天然气,,8.0
太阳能,太阳能,,14.0
燃料,燃料,,12.0
镉,镉,,3.0
钢铁,钢铁,,4.0
化石燃料,化石燃料,,6.0
加热,加热,,3.0
甲烷,甲烷,,6.0
风能,风能,,3.0
铜,铜,,3.0
反应器,反应器,,3.0
煤,煤,,4.0
焚烧,焚烧,,4.0
酸,酸,,3.0
