Source,Target,Type,id,label,timeset,weight
金,石油,Undirected,5629,,,9.0
能源,化学,Undirected,5630,,,9.0
合成,油脂,Undirected,5632,,,2.0
气体,电子,Undirected,5633,,,3.0
天然气,食用油,Undirected,5634,,,1.0
水泥,玻璃,Undirected,5636,,,4.0
空气质量,大气污染,Undirected,5637,,,1.0
金,碳,Undirected,5639,,,13.0
浸润,水,Undirected,5641,,,6.0
食品添加剂,添加剂,Undirected,5644,,,7.0
沼气,肥料,Undirected,5649,,,3.0
碳,有色金属,Undirected,5654,,,3.0
金,燃料,Undirected,5662,,,1.0
玻璃,石油,Undirected,5665,,,1.0
水泥,钢铁,Undirected,5666,,,5.0
二氧化碳,能源,Undirected,5668,,,9.0
锰,铜,Undirected,5669,,,1.0
盐,水,Undirected,5673,,,4.0
电子,水,Undirected,5676,,,13.0
肥料,化肥,Undirected,5680,,,8.0
化学需氧量,水泥,Undirected,5681,,,1.0
锰,二氧化硫,Undirected,5684,,,1.0
石油,煤,Undirected,5693,,,5.0
蛋白质,铬,Undirected,5696,,,1.0
金,富集,Undirected,5698,,,1.0
冶炼,电子,Undirected,5704,,,1.0
水,太阳能,Undirected,5708,,,7.0
富集,铁,Undirected,5714,,,1.0
空气质量,二氧化硫,Undirected,5725,,,7.0
废水,废气,Undirected,5727,,,4.0
碳,营养,Undirected,5728,,,3.0
电子,营养,Undirected,5729,,,5.0
回流,电子,Undirected,5731,,,2.0
能源,煤,Undirected,5736,,,15.0
废气,化学,Undirected,5737,,,1.0
塑料,废水,Undirected,5738,,,2.0
大气污染,电池,Undirected,5740,,,1.0
营养,重金属,Undirected,5748,,,3.0
糖,能量,Undirected,5752,,,2.0
废气,能源,Undirected,5754,,,2.0
废水,燃烧,Undirected,5756,,,1.0
燃料,水泥,Undirected,5758,,,2.0
聚合,电子,Undirected,5762,,,3.0
焊接,分解,Undirected,5763,,,1.0
富集,冶炼,Undirected,5770,,,1.0
糖,维生素,Undirected,5772,,,1.0
金,天然,Undirected,5777,,,4.0
玻璃,陶瓷,Undirected,5781,,,6.0
不锈钢,营养,Undirected,5783,,,2.0
煤,化肥,Undirected,5787,,,2.0
天然气,再生资源,Undirected,5794,,,1.0
盐,成分,Undirected,5799,,,1.0
石油,有色金属,Undirected,5800,,,3.0
化肥,化学,Undirected,5801,,,1.0
油脂,气体,Undirected,5802,,,1.0
电子,加热,Undirected,5815,,,1.0
添加剂,肥料,Undirected,5818,,,2.0
天然,铜,Undirected,5822,,,2.0
燃烧,气体,Undirected,5825,,,2.0
废气,燃烧,Undirected,5833,,,1.0
添加剂,气体,Undirected,5834,,,1.0
水泥,能源,Undirected,5842,,,11.0
柴油,糖,Undirected,5843,,,1.0
再生资源,盐,Undirected,5844,,,1.0
食品添加剂,食用油,Undirected,5846,,,1.0
砝码,水,Undirected,5848,,,2.0
PM2.5,钢铁,Undirected,5850,,,1.0
镁,铅,Undirected,5857,,,1.0
营养,化肥,Undirected,5859,,,3.0
焊接,电子,Undirected,5867,,,4.0
铝,铝土矿,Undirected,5872,,,4.0
分解,铬,Undirected,5878,,,1.0
金,化肥,Undirected,5885,,,1.0
塑料,化肥,Undirected,5886,,,3.0
富集,肥料,Undirected,5906,,,1.0
铁,碳,Undirected,5907,,,1.0
含量,水,Undirected,5908,,,4.0
水泥,水,Undirected,5912,,,9.0
废水,铬,Undirected,5920,,,2.0
天然,天然气,Undirected,5921,,,3.0
大气污染,水,Undirected,5922,,,3.0
铅,煤,Undirected,5924,,,2.0
银,铜,Undirected,5927,,,7.0
半导体,化肥,Undirected,5931,,,1.0
能源,空气质量,Undirected,5938,,,4.0
焊接,能量,Undirected,5939,,,1.0
天然气,回流,Undirected,5944,,,1.0
沼气,化肥,Undirected,5948,,,2.0
塑料,钢铁,Undirected,5955,,,3.0
升华,水,Undirected,5958,,,4.0
塑料,二氧化碳,Undirected,5961,,,1.0
塑料,营养,Undirected,5968,,,1.0
热电,天然气,Undirected,5996,,,5.0
粉尘,二氧化硫,Undirected,5997,,,2.0
水泥,页岩气,Undirected,6000,,,1.0
空气质量,能量,Undirected,6003,,,2.0
金,加热,Undirected,6005,,,1.0
粉尘,化学需氧量,Undirected,6006,,,2.0
煤,水泥,Undirected,6009,,,5.0
不锈钢,电子,Undirected,6016,,,4.0
热电,铁,Undirected,6021,,,1.0
有色金属,能源,Undirected,6022,,,7.0
升华,能量,Undirected,6027,,,1.0
塑料,氧气,Undirected,6033,,,1.0
维生素,水,Undirected,6036,,,2.0
碳,水泥,Undirected,6037,,,1.0
金,银,Undirected,6041,,,8.0
玻璃,锰,Undirected,6043,,,3.0
电子,抗生素,Undirected,6047,,,2.0
沉淀,乙醇,Undirected,6049,,,1.0
金,砝码,Undirected,6063,,,5.0
沼气,能源,Undirected,6067,,,3.0
富集,石油,Undirected,6069,,,4.0
钢铁,能量,Undirected,6076,,,1.0
碳,水,Undirected,6086,,,17.0
金,水泥,Undirected,6087,,,4.0
铜,钢铁,Undirected,6097,,,2.0
水,陶瓷,Undirected,6101,,,2.0
天然,再生资源,Undirected,6103,,,1.0
碳,分解,Undirected,6104,,,1.0
再生资源,瓦斯,Undirected,6106,,,1.0
铝,铜,Undirected,6111,,,3.0
氧气,汽油,Undirected,6117,,,1.0
铝,粉尘,Undirected,6120,,,1.0
水,瓦斯,Undirected,6122,,,1.0
发酵,水,Undirected,6123,,,2.0
金,能源,Undirected,6151,,,8.0
金,沼气,Undirected,6153,,,3.0
电子,玻璃,Undirected,6158,,,3.0
沼气,有机肥料,Undirected,6169,,,3.0
分子,肥料,Undirected,6171,,,2.0
乙醇,添加剂,Undirected,6174,,,1.0
水,水分,Undirected,6175,,,3.0
水,食用油,Undirected,6178,,,2.0
天然气,富集,Undirected,6179,,,5.0
金,有色金属,Undirected,6182,,,3.0
天然气,铁,Undirected,6184,,,4.0
玻璃,汽油,Undirected,6186,,,2.0
水分,营养,Undirected,6190,,,1.0
焊接,石油,Undirected,6191,,,2.0
油气,页岩气,Undirected,6195,,,4.0
沼气,钢铁,Undirected,6202,,,1.0
富集,天然,Undirected,6203,,,1.0
糖,有机肥料,Undirected,6207,,,1.0
金,玻璃,Undirected,6208,,,4.0
肥料,有机肥料,Undirected,6211,,,2.0
金,天然气,Undirected,6212,,,6.0
石油,化肥,Undirected,6216,,,1.0
废水,气体,Undirected,6217,,,2.0
天然气,焊接,Undirected,6228,,,2.0
沼气,发酵,Undirected,6230,,,6.0
有机肥料,水,Undirected,6233,,,2.0
发酵,银,Undirected,6240,,,1.0
微量元素,维生素,Undirected,6242,,,2.0
分解,水,Undirected,6245,,,4.0
焊接,水,Undirected,6247,,,1.0
升华,石油,Undirected,6248,,,1.0
加热,水,Undirected,6252,,,2.0
分解,电子,Undirected,6255,,,4.0
含量,天然,Undirected,6261,,,4.0
沉淀,水,Undirected,6269,,,4.0
营养,糖,Undirected,6272,,,5.0
能量,蛋白质,Undirected,6273,,,4.0
燃料,汽油,Undirected,6279,,,1.0
电子,乙醇,Undirected,6280,,,2.0
塑料,能源,Undirected,6286,,,2.0
盐,碳,Undirected,6290,,,1.0
回流,碳,Undirected,6291,,,1.0
成分,含量,Undirected,6292,,,1.0
天然气,汽油,Undirected,6297,,,1.0
合成,燃烧,Undirected,6300,,,1.0
砝码,化学,Undirected,6303,,,1.0
太阳能,能源,Undirected,6306,,,3.0
天然气,塑料,Undirected,6307,,,1.0
回流,能源,Undirected,6310,,,5.0
再生资源,电子,Undirected,6311,,,2.0
再生资源,能源,Undirected,6312,,,4.0
盐,水泥,Undirected,6314,,,2.0
空气质量,碳,Undirected,6317,,,7.0
铝土矿,能源,Undirected,6332,,,1.0
电子,煤,Undirected,6335,,,4.0
沉淀,能量,Undirected,6345,,,1.0
维生素,油脂,Undirected,6349,,,1.0
富集,页岩气,Undirected,6358,,,1.0
有机肥料,天然气,Undirected,6363,,,2.0
含量,铜,Undirected,6367,,,1.0
二氧化硫,化学需氧量,Undirected,6372,,,2.0
沼气,化学需氧量,Undirected,6381,,,1.0
钢铁,二氧化碳,Undirected,6382,,,1.0
升华,水泥,Undirected,6386,,,1.0
含量,电子,Undirected,6388,,,2.0
氧气,钢铁,Undirected,6390,,,1.0
合成,金,Undirected,6391,,,2.0
分解,沼气,Undirected,6409,,,1.0
化学需氧量,煤,Undirected,6418,,,3.0
升华,营养,Undirected,6432,,,3.0
铝,能源,Undirected,6434,,,2.0
营养,天然,Undirected,6435,,,2.0
水泥,天然,Undirected,6437,,,1.0
能源,营养,Undirected,6444,,,2.0
化肥,油气,Undirected,6459,,,1.0
盐,食用油,Undirected,6462,,,1.0
油脂,铜,Undirected,6464,,,1.0
铁,铅,Undirected,6468,,,3.0
废水,PM2.5,Undirected,6470,,,1.0
碳,氧气,Undirected,6476,,,3.0
碳,PM2.5,Undirected,6478,,,1.0
聚合,能源,Undirected,6485,,,2.0
碳,电子,Undirected,6487,,,8.0
大气污染,二氧化硫,Undirected,6496,,,6.0
能源,瓦斯,Undirected,6500,,,5.0
分子,天然,Undirected,6501,,,1.0
天然气,煤,Undirected,6502,,,5.0
能源,钢铁,Undirected,6505,,,6.0
发酵,食用油,Undirected,6521,,,1.0
玻璃,营养,Undirected,6526,,,1.0
不锈钢,能源,Undirected,6549,,,1.0
金,镁,Undirected,6551,,,1.0
太阳能,沉淀,Undirected,6556,,,1.0
金,浸润,Undirected,6560,,,1.0
二氧化碳,煤,Undirected,6564,,,2.0
二氧化硫,能源,Undirected,6565,,,3.0
重金属,分子,Undirected,6583,,,1.0
电子,油气,Undirected,6596,,,2.0
微量元素,肥料,Undirected,6599,,,1.0
富集,发酵,Undirected,6602,,,2.0
天然气,大气污染,Undirected,6617,,,2.0
金,油脂,Undirected,6630,,,1.0
回流,水,Undirected,6637,,,1.0
发酵,含量,Undirected,6639,,,3.0
金,分子,Undirected,6648,,,1.0
碳,煤,Undirected,6653,,,1.0
铝,油气,Undirected,6655,,,1.0
气体,成分,Undirected,6672,,,1.0
太阳能,升华,Undirected,6675,,,1.0
发酵,能源,Undirected,6688,,,4.0
食品添加剂,电子,Undirected,6690,,,2.0
空气质量,PM2.5,Undirected,6697,,,3.0
抗生素,营养,Undirected,6700,,,1.0
铝,电子,Undirected,6714,,,3.0
升华,碳,Undirected,6720,,,2.0
冶炼,能源,Undirected,6728,,,1.0
太阳能,能量,Undirected,6750,,,2.0
