id,label,timeset,weighted degree
废水,废水,,43.0
大气污染,大气污染,,35.0
PM2.5,PM2.5,,45.0
水,水,,464.0
空气质量,空气质量,,108.0
水泥,水泥,,151.0
能源,能源,,398.0
有色金属,有色金属,,43.0
电子,电子,,318.0
不锈钢,不锈钢,,25.0
钢铁,钢铁,,92.0
铁,铁,,99.0
石油,石油,,180.0
天然,天然,,86.0
银,银,,52.0
营养,营养,,155.0
金,金,,299.0
塑料,塑料,,54.0
合成,合成,,36.0
回流,回流,,28.0
分解,分解,,48.0
煤,煤,,97.0
瓦斯,瓦斯,,25.0
矿泉水,矿泉水,,29.0
升华,升华,,51.0
电池,电池,,48.0
水分,水分,,33.0
太阳能,太阳能,,78.0
重金属,重金属,,26.0
有机肥料,有机肥料,,38.0
玻璃,玻璃,,91.0
二氧化碳,二氧化碳,,65.0
添加剂,添加剂,,38.0
食品添加剂,食品添加剂,,36.0
分子,分子,,28.0
维生素,维生素,,29.0
陶瓷,陶瓷,,25.0
气体,气体,,38.0
天然气,天然气,,237.0
铜,铜,,66.0
含量,含量,,142.0
发酵,发酵,,66.0
柴油,柴油,,33.0
化学需氧量,化学需氧量,,23.0
二氧化硫,二氧化硫,,67.0
冶炼,冶炼,,29.0
化学,化学,,68.0
废气,废气,,34.0
镁,镁,,31.0
铝土矿,铝土矿,,23.0
铝,铝,,65.0
食用油,食用油,,38.0
浸润,浸润,,33.0
汽油,汽油,,43.0
成分,成分,,31.0
焊接,焊接,,31.0
肥料,肥料,,70.0
聚合,聚合,,26.0
蛋白质,蛋白质,,42.0
燃料,燃料,,58.0
油脂,油脂,,36.0
碳,碳,,192.0
半导体,半导体,,25.0
乙醇,乙醇,,31.0
盐,盐,,58.0
油气,油气,,35.0
页岩气,页岩气,,57.0
抗生素,抗生素,,23.0
氧气,氧气,,29.0
富集,富集,,40.0
化肥,化肥,,72.0
砝码,砝码,,29.0
粉尘,粉尘,,24.0
燃烧,燃烧,,41.0
沉淀,沉淀,,50.0
再生资源,再生资源,,46.0
加热,加热,,28.0
沼气,沼气,,55.0
锰,锰,,26.0
糖,糖,,28.0
铅,铅,,30.0
能量,能量,,88.0
铬,铬,,23.0
微量元素,微量元素,,28.0
热电,热电,,25.0
