id,label,timeset,weighted degree
能量,能量,,72.0
化学,化学,,60.0
电子,电子,,290.0
水,水,,430.0
干燥,干燥,,20.0
焊接,焊接,,28.0
营养,营养,,76.0
天然,天然,,89.0
钢铁,钢铁,,62.0
水泥,水泥,,96.0
燃料,燃料,,37.0
有机肥料,有机肥料,,29.0
含量,含量,,93.0
碳,碳,,170.0
石油,石油,,115.0
富集,富集,,39.0
聚合,聚合,,46.0
油气,油气,,52.0
再生资源,再生资源,,32.0
金,金,,193.0
分解,分解,,66.0
硒,硒,,43.0
沥青,沥青,,19.0
能源,能源,,277.0
血糖,血糖,,16.0
铁,铁,,85.0
燃烧,燃烧,,48.0
分子,分子,,40.0
玻璃,玻璃,,82.0
铜,铜,,51.0
沉淀,沉淀,,51.0
电池,电池,,43.0
制备,制备,,23.0
烯,烯,,40.0
大气污染,大气污染,,75.0
页岩气,页岩气,,106.0
煤,煤,,53.0
水污染,水污染,,45.0
化肥,化肥,,35.0
太阳能,太阳能,,46.0
银,银,,29.0
升华,升华,,28.0
塑料,塑料,,48.0
不锈钢,不锈钢,,21.0
钙,钙,,20.0
重金属,重金属,,22.0
气体,气体,,32.0
瓦斯,瓦斯,,19.0
肥料,肥料,,29.0
有机物,有机物,,20.0
镁,镁,,17.0
铝,铝,,45.0
盐,盐,,19.0
焚烧,焚烧,,32.0
氧气,氧气,,22.0
空气质量,空气质量,,97.0
汽油,汽油,,38.0
柴油,柴油,,39.0
陶瓷,陶瓷,,19.0
水分,水分,,26.0
微量元素,微量元素,,17.0
浸润,浸润,,21.0
发酵,发酵,,22.0
沼气,沼气,,18.0
天然气,天然气,,127.0
PM2.5,PM2.5,,53.0
废水,废水,,35.0
矿泉水,矿泉水,,20.0
复合材料,复合材料,,28.0
单体,单体,,25.0
食用油,食用油,,17.0
半导体,半导体,,21.0
合成,合成,,27.0
粉尘,粉尘,,30.0
成分,成分,,23.0
过滤,过滤,,31.0
浊度,浊度,,17.0
氯,氯,,17.0
铌,铌,,36.0
纳米,纳米,,19.0
二氧化碳,二氧化碳,,37.0
废气,废气,,42.0
脱硫,脱硫,,16.0
油脂,油脂,,18.0
添加剂,添加剂,,16.0
二氧化硫,二氧化硫,,37.0
氮氧化物,氮氧化物,,20.0
化学需氧量,化学需氧量,,16.0
