id,label,timeset,weighted degree
水,水,,470.0
盐,盐,,50.0
电子,电子,,314.0
碳,碳,,199.0
单体,单体,,24.0
分子,分子,,44.0
能源,能源,,321.0
石油,石油,,125.0
能量,能量,,85.0
页岩气,页岩气,,90.0
矿泉水,矿泉水,,42.0
金,金,,287.0
铁,铁,,94.0
天然,天然,,103.0
水分,水分,,35.0
燃烧,燃烧,,61.0
有机肥料,有机肥料,,31.0
竞争性,竞争性,,23.0
富集,富集,,33.0
发酵,发酵,,48.0
微量元素,微量元素,,20.0
硒,硒,,48.0
肥料,肥料,,43.0
营养,营养,,86.0
沥青,沥青,,20.0
气体,气体,,49.0
过滤,过滤,,37.0
天然气,天然气,,205.0
电池,电池,,28.0
油气,油气,,46.0
分解,分解,,64.0
血糖,血糖,,18.0
升华,升华,,55.0
合成,合成,,18.0
化肥,化肥,,37.0
回流,回流,,18.0
太阳能,太阳能,,31.0
聚合,聚合,,37.0
大气污染,大气污染,,91.0
烯,烯,,18.0
钙,钙,,26.0
腐蚀,腐蚀,,21.0
成分,成分,,36.0
含量,含量,,101.0
钢铁,钢铁,,62.0
糖,糖,,19.0
空气质量,空气质量,,96.0
重金属,重金属,,26.0
水泥,水泥,,109.0
钻石,钻石,,22.0
柴油,柴油,,34.0
废水,废水,,33.0
燃料,燃料,,52.0
浸润,浸润,,24.0
碳环,碳环,,20.0
食用油,食用油,,22.0
银,银,,43.0
铜,铜,,48.0
塑料,塑料,,44.0
再生资源,再生资源,,28.0
汽油,汽油,,40.0
PM2.5,PM2.5,,60.0
海水,海水,,19.0
粉尘,粉尘,,24.0
二氧化硫,二氧化硫,,45.0
二氧化碳,二氧化碳,,33.0
煤,煤,,60.0
脱硫,脱硫,,35.0
脱硝,脱硝,,26.0
水污染,水污染,,36.0
沉淀,沉淀,,58.0
冶炼,冶炼,,19.0
沼气,沼气,,32.0
陶瓷,陶瓷,,24.0
焚烧,焚烧,,28.0
化学,化学,,47.0
玻璃,玻璃,,82.0
铝,铝,,39.0
不锈钢,不锈钢,,18.0
纳米,纳米,,20.0
废气,废气,,44.0
氮氧化物,氮氧化物,,18.0
电镀,电镀,,21.0
焊接,焊接,,23.0
